,Approval of my requests,"Approve all leave requests 
",Approve all pending requests.,"Approve all unpaid leaves 
",Approve my reportees leave requests,Display all my prossessed requests,Give me list of all the approved requests for this year,"HI Darwin, I can't seem to find the invite sent by Rez.",I want a list of my approved requests in the month of May 2018,My Approvar not able to approve the leaves,My approved requests,My reportees leaves approvals ,My reportees pending attendance adjustment requests,Provide a list of my prossessed requests,Raj's approved requests,Revoke my leave application,Show a list of my pending approvals,Show approved approvals,Show me my pending approval requests,Show my approved attendance adjustment requests,Show my pending approvals ,Show pending approvals,Show processed approvals,how do i approve separation workflow?,i want to revoke the approved leave,leave approval,not able to approve attendance regularization request,please approve sir,separation approvals not open kindly check,show approval,show approvals,show approvasl,show my approved leave requests,show my approved requests,show my processed approvals ,show reportees approvals ,step to approve travel request,unable to approve reimbursement,view approvala,view approvals,view my approvals,where are my approved requests,why i can't approve the resignation  file?
Approval of my requests,0.0,0.49558877420669145,0.3922043963604499,0.6767285770247522,0.5400516788272518,0.6399966387995513,0.4156430452907037,0.8309525354829453,0.44949542707589807,0.5029727490384721,0.2103712050478217,0.5433961699632653,0.5971301629875363,0.4455576688170112,0.43081095462478813,0.7616409644764095,0.5194640642334759,0.5434757644428871,0.36886028772829127,0.48862856717320524,0.4892011903292153,0.5438420085320479,0.6227969754113556,0.6633242592594889,0.7017089207822933,0.49611006255414836,0.5738220551344442,0.6446426052729112,0.5591523492738303,0.3880735539018957,0.5309669182987204,0.8072580220012414,0.48150035990582385,0.37338301983734856,0.5795634428549628,0.606158768328424,0.47820291606698473,0.5658288728467065,0.5125417186405609,0.5045955469375903,0.5397606508994888,0.3946517021683772,0.5984410006951008
"Approve all leave requests 
",0.49558877420669145,0.0,0.48410455598531155,0.24857666957092805,0.2346184780876357,0.8707909876820543,0.544307582483373,0.9317759418004319,0.5939804320157795,0.5939794476586322,0.5806241881476915,0.5723281708167387,0.6000263091787977,0.7436892827002122,0.6384556917836839,0.4267957132235165,0.6687422784901935,0.687287515911256,0.6079275552608172,0.5213209987752672,0.6972278752464609,0.6893972989291703,0.7524390866675005,0.6210234116366691,0.41220242693185016,0.2719222767045709,0.5685756098997781,0.744905620184168,0.6657227898862834,0.6461316989086423,0.6960230317773524,0.9527530689595851,0.30207470224992616,0.6511517888408713,0.7671454534413354,0.701220359819277,0.4947560560488089,0.6691801182447578,0.6813616430935585,0.686324791100193,0.703041869314373,0.6415980054041113,0.5977674555675108
Approve all pending requests.,0.3922043963604499,0.48410455598531155,0.0,0.6537209582018797,0.6228477061806825,0.6730030841113342,0.4791709763454467,0.8895565019789997,0.5535250685707453,0.663930539581713,0.4304013604253324,0.6854632097124301,0.6436956768479914,0.5025414121258751,0.5511306216169838,0.8444819187042791,0.592708491733976,0.6656410625081295,0.48456608614770125,0.641727775856296,0.5856545199139973,0.584600712481899,0.6718993157516666,0.6817203647224863,0.753133504491049,0.6398158475730815,0.6691204564902579,0.7082793216105213,0.6692190469774162,0.5948519996489475,0.6779018955857272,0.8856487965563866,0.6529997572364286,0.5399923490938061,0.6837857822020803,0.7143388809294653,0.5458974663585501,0.6535364339951395,0.6248131045805354,0.6287624383729179,0.6971844649907205,0.5293507946546344,0.7331612182045308
"Approve all unpaid leaves 
",0.6767285770247522,0.24857666957092805,0.6537209582018797,2.220446049250313e-16,0.396903148348312,0.998432564165791,0.6898207869170513,0.9965230680522406,0.705312577202698,0.5144601788535714,0.7367959569892294,0.5843573591395066,0.6031973868990788,0.9125913215388443,0.7393918843324478,0.4243908498873472,0.7415062054988328,0.7535913041352754,0.7404823018548151,0.5834671412390761,0.7458228460187146,0.7529087186540673,0.7861180305803304,0.6452037395828556,0.3680802331098926,0.30686133695486495,0.6323308432066372,0.8212481482509069,0.7487684846582892,0.7052564996330641,0.7441401070654172,0.907987916968886,0.4325092356336858,0.7913023609449537,0.7846976450912044,0.7781511003839294,0.6984733919908162,0.6541456332091642,0.7273530691524638,0.7242732116839741,0.7545513969617696,0.7731904811917802,0.5669600548792244
Approve my reportees leave requests,0.5400516788272518,0.2346184780876357,0.6228477061806825,0.396903148348312,0.0,0.8881703736788545,0.6024151142388414,0.9098023691539232,0.6412126884836227,0.6096088966442708,0.5879750306203169,0.2799882491133313,0.3369415865734944,0.7878009317922889,0.5905343752012988,0.5030644779143609,0.7211199753450391,0.7270187425536996,0.6537363517329434,0.4949171854390606,0.7320441603769869,0.7197376701670106,0.7928822683811984,0.5751087451905837,0.48790214338214066,0.33245145296404177,0.5638280298284939,0.7665314905278846,0.6587724995998991,0.7046621501645925,0.7225485935428915,0.9068467280282192,0.37670493165393204,0.6833072686055099,0.7994789209979118,0.4769653927202875,0.5314571513321764,0.6741597546328397,0.7260333742301726,0.7071555742433621,0.7513312571901394,0.6799721987168863,0.5806563651087078
Display all my prossessed requests,0.6399966387995513,0.8707909876820543,0.6730030841113342,0.998432564165791,0.8881703736788545,0.0,0.5914704988390382,0.9078129140669137,0.48213708238358677,0.9487493108981926,0.5271555472034688,0.8779406117089327,0.8703003840683438,0.3431279388702245,0.7645213917616939,0.9638642918096796,0.5409967725450338,0.6663598112699569,0.4604919783060599,0.6000899603798129,0.5790946652609399,0.6710283710943771,0.6089929116567007,1.0098302459250261,0.9719751743890569,1.0286895081540213,0.9925222552682084,0.9029899846696067,0.9530563514056171,0.787618544242717,0.6187059086396958,0.7195014775500522,0.5739605027069208,0.3032837534328561,0.5264064031383302,0.6822949530166169,0.9485897978185135,0.9925909175460904,0.7161231743682117,0.641629023561392,0.5208724549816539,0.4984255422015441,1.007444774326622
Give me list of all the approved requests for this year,0.4156430452907037,0.544307582483373,0.4791709763454467,0.6898207869170513,0.6024151142388414,0.5914704988390382,1.1102230246251565e-16,0.8097571936330608,0.18260717715358987,0.6578272979211393,0.2894001783219847,0.6270631205290649,0.6199988172537467,0.41355757930019654,0.4231138505355907,0.7934129027537783,0.5098480892300499,0.5076609270260235,0.44881380661141945,0.5145478402763377,0.5631296348911536,0.5458844087203581,0.5728211384854449,0.8313836351434749,0.706693285675662,0.6606130979776412,0.6371585769260873,0.6866574773584744,0.6929077577834043,0.6052532435584238,0.5549699701385362,0.8036232182732919,0.48051975389379986,0.40436832510996035,0.5986127478420176,0.5716488070076206,0.654627738849308,0.6484660741870976,0.5694826057607607,0.5999445594277981,0.5819433655520438,0.4159413447542888,0.6895003443758521
"HI Darwin, I can't seem to find the invite sent by Rez.",0.8309525354829453,0.9317759418004319,0.8895565019789997,0.9965230680522406,0.9098023691539232,0.9078129140669137,0.8097571936330608,0.0,0.7723659661876643,0.8696719775812123,0.7281746691164743,0.9278782471516389,0.9104383593932099,0.7786994832830862,0.7809221916382236,0.9879983248322922,0.9546526350866181,0.928437332661483,0.9311207878537625,0.8748193860823276,0.9519602555250953,0.9641724036562783,0.9527999685784432,0.958548112730502,0.9292146225839022,0.882859627801157,0.7917973430966228,0.8290460759345849,0.8313811217411045,0.8764114832516618,0.9181254749632306,0.8487702677388053,0.8652267647768407,0.8418492327170305,0.9395287717929609,0.9599538345289981,0.828068558235949,0.7834906567677208,0.8564882308335603,0.9295820717706469,0.8853131268917545,0.7595375359561386,0.9077717976090149
I want a list of my approved requests in the month of May 2018,0.44949542707589807,0.5939804320157795,0.5535250685707453,0.705312577202698,0.6412126884836227,0.48213708238358677,0.18260717715358987,0.7723659661876643,2.220446049250313e-16,0.6619833120291201,0.29527322439400705,0.6492838114015282,0.7045965102503091,0.46479579233779766,0.5047778811619709,0.7773985115471967,0.4312287012864696,0.47895136356967594,0.38316696790376337,0.4822056144511203,0.4869171882861053,0.5260988496847713,0.5197805538023716,0.8481156246621775,0.6859502418244092,0.698501815307967,0.6774232952691058,0.7083732811883277,0.7048147031767475,0.6299167226466722,0.5327256132320147,0.8267569924766216,0.3949702401638009,0.28261993017839326,0.488491519233925,0.5896066704272762,0.7058929239128835,0.7316998723627293,0.5938380570961541,0.5714789172640315,0.4659518464527638,0.30695157125563144,0.7161166462371673
My Approvar not able to approve the leaves,0.5029727490384721,0.5939794476586322,0.663930539581713,0.5144601788535714,0.6096088966442708,0.9487493108981926,0.6578272979211393,0.8696719775812123,0.6619833120291201,0.0,0.5731539443006458,0.4897034257648708,0.6782032453578108,0.8317872834246736,0.6476182376656441,0.6007633284563271,0.6466289556184756,0.6129237802699222,0.6033002211513435,0.6030544001393694,0.5787159727905891,0.620583365462919,0.6396627021393775,0.7152700411893325,0.48578859143771835,0.4657785938853716,0.4600972555511257,0.7703925809611207,0.4682155524471797,0.5387497247298184,0.5884784817154591,0.7077958508279671,0.585312827208472,0.6513378104351839,0.6045613648195677,0.7049134609753138,0.6462364417902404,0.48557739406183076,0.4798835872391206,0.5744404485373267,0.6120068135737444,0.6343880107419207,0.383004548523011
My approved requests,0.2103712050478217,0.5806241881476915,0.4304013604253324,0.7367959569892294,0.5879750306203169,0.5271555472034688,0.2894001783219847,0.7281746691164743,0.29527322439400705,0.5731539443006458,0.0,0.5247508342163297,0.6273360427775397,0.371085000741042,0.41236819633798627,0.7630584518305809,0.4788214266051647,0.4562574903747729,0.3597588671108639,0.44802541715216393,0.456977660960452,0.5381710024747872,0.5431507179890158,0.7679958895414684,0.6766512559696883,0.5651825528032124,0.6201937047086735,0.6039570605430634,0.5897138020945214,0.4410319465998892,0.49437374403651124,0.7405146366290869,0.3930199944984557,0.22903997775987217,0.478429514959428,0.5851670818431081,0.6244393339727539,0.6018434337676318,0.5219915333104769,0.5174271871113956,0.45474561402260705,0.25357907534712987,0.6709205181021969
My reportees leaves approvals ,0.5433961699632653,0.5723281708167387,0.6854632097124301,0.5843573591395066,0.2799882491133313,0.8779406117089327,0.6270631205290649,0.9278782471516389,0.6492838114015282,0.4897034257648708,0.5247508342163297,0.0,0.4125862251001543,0.843877131758305,0.5818969578751547,0.6549906414874385,0.583318335023969,0.5045163046774823,0.5882970725592829,0.5781840475909006,0.5558281742456812,0.5610794364546521,0.563371994533718,0.6399651115609559,0.5638765950368434,0.42024789456687617,0.649411887083167,0.7639667371730743,0.5707669966628488,0.5215033694006947,0.49407922057152187,0.8369010597622872,0.5350230136421064,0.5993482006178048,0.55050168602067,0.27852560832716544,0.6866921474052368,0.6578339464577715,0.5381581406334688,0.4919736393089307,0.5398832166725653,0.6129741267623434,0.5511405753527262
My reportees pending attendance adjustment requests,0.5971301629875363,0.6000263091787977,0.6436956768479914,0.6031973868990788,0.3369415865734944,0.8703003840683438,0.6199988172537467,0.9104383593932099,0.7045965102503091,0.6782032453578108,0.6273360427775397,0.4125862251001543,0.0,0.7772258261970314,0.6529252503407543,0.6973836878334688,0.7869512855545652,0.8578435398695101,0.7263144996643582,0.3293902639403683,0.7860120319830214,0.7794645606161266,0.8625116895855882,0.7522144829623258,0.6748175471710516,0.6683166958147226,0.42127018845797537,0.8801806194327325,0.7621921817634901,0.830861441393875,0.8322872600509301,0.8891829810754901,0.6215487219798708,0.786437224983319,0.8637169314706477,0.5864308695880445,0.7072184031861364,0.6884901631626643,0.8003589517797706,0.802916687866241,0.8595855879589329,0.7485893183724949,0.6873957850896881
Provide a list of my prossessed requests,0.4455576688170112,0.7436892827002122,0.5025414121258751,0.9125913215388443,0.7878009317922889,0.3431279388702245,0.41355757930019654,0.7786994832830862,0.46479579233779766,0.8317872834246736,0.371085000741042,0.843877131758305,0.7772258261970314,1.1102230246251565e-16,0.585971173844466,0.9317159321946459,0.6737970847264165,0.8315898701118077,0.58009737285254,0.6875126090701746,0.7233834987342611,0.8120934053642659,0.8324864265455532,0.9286033293277216,0.9152414839580473,0.8847400037864439,0.8573439239021046,0.7710819424167896,0.8623282311920599,0.7758113345555869,0.7753125384063051,0.7137079865347332,0.657595128777988,0.5031426909347949,0.7592886867942694,0.8279033121169843,0.8271902131057067,0.8597991132287959,0.7728087100258159,0.8023587907969361,0.7234934803953211,0.5557654296062373,0.8972906443704923
Raj's approved requests,0.43081095462478813,0.6384556917836839,0.5511306216169838,0.7393918843324478,0.5905343752012988,0.7645213917616939,0.4231138505355907,0.7809221916382236,0.5047778811619709,0.6476182376656441,0.41236819633798627,0.5818969578751547,0.6529252503407543,0.585971173844466,0.0,0.8243580219211195,0.7330643088790982,0.67997693868551,0.6603909787747653,0.6802496061585014,0.7323909767375709,0.7175362720672405,0.7613481004326104,0.7384424840380917,0.6857024761555885,0.6378412313275135,0.6526468252072636,0.6755699312536202,0.6528412469582208,0.6260927032125703,0.7053464578074129,0.8506176975019707,0.659895120979926,0.605650943480028,0.7773610983779417,0.6818650046052599,0.5752378090100255,0.6062955292977623,0.6613661207683569,0.6829277771094555,0.7523634146911385,0.5947934256484766,0.6911490090977495
Revoke my leave application,0.7616409644764095,0.4267957132235165,0.8444819187042791,0.4243908498873472,0.5030644779143609,0.9638642918096796,0.7934129027537783,0.9879983248322922,0.7773985115471967,0.6007633284563271,0.7630584518305809,0.6549906414874385,0.6973836878334688,0.9317159321946459,0.8243580219211195,0.0,0.8296450099839792,0.8620993762931385,0.7700919312831979,0.6650721047445539,0.8013784505684063,0.863487180783905,0.8851424626318769,0.7107216042039218,0.16139839775172538,0.390871682399494,0.6560303715508674,0.8507699320460648,0.7579979401883274,0.831369188642072,0.8572418270465246,0.9160201960807569,0.46583777118491587,0.8223781793575544,0.8253755323017966,0.902083676867805,0.7491544512442961,0.7050510903643613,0.7899230235592503,0.8288795090224634,0.7709806687280155,0.8035809346815999,0.531258352806375
Show a list of my pending approvals,0.5194640642334759,0.6687422784901935,0.592708491733976,0.7415062054988328,0.7211199753450391,0.5409967725450338,0.5098480892300499,0.9546526350866181,0.4312287012864696,0.6466289556184756,0.4788214266051647,0.583318335023969,0.7869512855545652,0.6737970847264165,0.7330643088790982,0.8296450099839792,0.0,0.19867957521940904,0.10610566618721906,0.47015265647499116,0.05386255988571331,0.10623826736196207,0.1731731288078957,0.823986788962561,0.7727046941435537,0.6738980805844232,0.8047358092092276,0.7351585928046926,0.6601640178220203,0.4220649986254541,0.21002796465174645,0.7966626042313288,0.39216760964985276,0.2470662898558098,0.14503097694216505,0.3474563616605314,0.7438380662571771,0.7806174961357553,0.41891495023374514,0.3242734024075101,0.19637906783337422,0.4418147366384805,0.7045785059983704
Show approved approvals,0.5434757644428871,0.687287515911256,0.6656410625081295,0.7535913041352754,0.7270187425536996,0.6663598112699569,0.5076609270260235,0.928437332661483,0.47895136356967594,0.6129237802699222,0.4562574903747729,0.5045163046774823,0.8578435398695101,0.8315898701118077,0.67997693868551,0.8620993762931385,0.19867957521940904,0.0,0.24210475932378706,0.47996848484274235,0.1631733096179917,0.12294723859922174,0.09522747026524281,0.8011855454177312,0.7103652838385774,0.5930287155803304,0.7657426960688757,0.6992646932552752,0.6299547809292045,0.2439156634434595,0.0633657681543146,0.7170236204841048,0.3856626514387774,0.22617850101183723,0.15804775576849195,0.2240651927864764,0.6784589997525872,0.6986949533276954,0.28762800214875495,0.19798556829404412,0.2007335824308102,0.42751190050466814,0.6961064157645056
Show me my pending approval requests,0.36886028772829127,0.6079275552608172,0.48456608614770125,0.7404823018548151,0.6537363517329434,0.4604919783060599,0.44881380661141945,0.9311207878537625,0.38316696790376337,0.6033002211513435,0.3597588671108639,0.5882970725592829,0.7263144996643582,0.58009737285254,0.6603909787747653,0.7700919312831979,0.10610566618721906,0.24210475932378706,0.0,0.40364605086040695,0.06675597351515838,0.1235094590735828,0.24082954446506322,0.7823388495347908,0.7291129844536135,0.6214167146859374,0.7208455554732556,0.7012340420939933,0.603370856418324,0.40004694100450877,0.2550619684362643,0.7826930979216453,0.3221412641393768,0.1536867735586135,0.20985270781697696,0.3978394828659666,0.6657566545810824,0.7368430028932941,0.41066728286197585,0.34391531637211603,0.2481666095356112,0.3139077211140612,0.6612376614446971
Show my approved attendance adjustment requests,0.48862856717320524,0.5213209987752672,0.641727775856296,0.5834671412390761,0.4949171854390606,0.6000899603798129,0.5145478402763377,0.8748193860823276,0.4822056144511203,0.6030544001393694,0.44802541715216393,0.5781840475909006,0.3293902639403683,0.6875126090701746,0.6802496061585014,0.6650721047445539,0.47015265647499116,0.47996848484274235,0.40364605086040695,1.1102230246251565e-16,0.46174904479162937,0.5028855851583226,0.5220130329489009,0.7796471750639306,0.62599427419498,0.5922578014689974,0.39908379853787446,0.789950061676564,0.7469550740704123,0.551233620089244,0.46768880833561,0.7408858571813075,0.2853493145460051,0.3599291535960166,0.4906519272922041,0.510107803175521,0.6664300548109375,0.6984184481053942,0.5537787834882433,0.5344883990628517,0.46724022976043555,0.4694752315522308,0.6934591015276429
