,Approval of my requests,"Approve all leave requests 
Show my pending approvals ,0.4892011903292153,0.6972278752464609,0.5856545199139973,0.7458228460187146,0.7320441603769869,0.5790946652609399,0.5631296348911536,0.9519602555250953,0.4869171882861053,0.5787159727905891,0.456977660960452,0.5558281742456812,0.7860120319830214,0.7233834987342611,0.7323909767375709,0.8013784505684063,0.05386255988571331,0.1631733096179917,0.06675597351515838,0.46174904479162937,2.220446049250313e-16,0.06524598088887756,0.1438157500977414,0.7911689390724697,0.7211035868384257,0.6361668696828615,0.7645882929632637,0.7231462059480779,0.593852052646953,0.3577766766300312,0.17270224677351187,0.7736453466155219,0.3753498477063726,0.2244582523370141,0.1104223270495781,0.3501253398890417,0.7235629741473222,0.742684346433959,0.3647153372778097,0.280353919567519,0.16866991543178078,0.4157925635857146,0.6363358218567113
Show pending approvals,0.5438420085320479,0.6893972989291703,0.584600712481899,0.7529087186540673,0.7197376701670106,0.6710283710943771,0.5458844087203581,0.9641724036562783,0.5260988496847713,0.620583365462919,0.5381710024747872,0.5610794364546521,0.7794645606161266,0.8120934053642659,0.7175362720672405,0.863487180783905,0.10623826736196207,0.12294723859922174,0.1235094590735828,0.5028855851583226,0.06524598088887756,0.0,0.11805007056525296,0.7796248940858131,0.7679015976687786,0.6274196600770245,0.7475831499463472,0.7365090990959406,0.5854547338520031,0.35763613028318064,0.15113441968244146,0.7797003431382111,0.44344274665978245,0.3025773738032618,0.20078807879654315,0.3039358017754574,0.7082993640417982,0.7499328630266486,0.34472303716566377,0.26207811903720024,0.28446239133310225,0.4992722702994049,0.6773230198732174
Show processed approvals,0.6227969754113556,0.7524390866675005,0.6718993157516666,0.7861180305803304,0.7928822683811984,0.6089929116567007,0.5728211384854449,0.9527999685784432,0.5197805538023716,0.6396627021393775,0.5431507179890158,0.563371994533718,0.8625116895855882,0.8324864265455532,0.7613481004326104,0.8851424626318769,0.1731731288078957,0.09522747026524281,0.24082954446506322,0.5220130329489009,0.1438157500977414,0.11805007056525296,0.0,0.7978857541417438,0.7679178641319491,0.6888022550887271,0.8288945456498449,0.7777484836208951,0.6304536478358143,0.38614218245264986,0.1365847815824882,0.7451771884080014,0.4374870843416999,0.26866141922502873,0.06220815148930181,0.288746790748319,0.7619132851476041,0.7768190206080176,0.33953536220927405,0.22749221969916844,0.19791533796802308,0.463466731008061,0.725408598698172
how do i approve separation workflow?,0.6633242592594889,0.6210234116366691,0.6817203647224863,0.6452037395828556,0.5751087451905837,1.0098302459250261,0.8313836351434749,0.958548112730502,0.8481156246621775,0.7152700411893325,0.7679958895414684,0.6399651115609559,0.7522144829623258,0.9286033293277216,0.7384424840380917,0.7107216042039218,0.823986788962561,0.8011855454177312,0.7823388495347908,0.7796471750639306,0.7911689390724697,0.7796248940858131,0.7978857541417438,0.0,0.598012984212472,0.5050385426033022,0.7212406759704268,0.8571317178569458,0.3685140714371886,0.7635558349732311,0.8249301782736516,0.9616273258483413,0.7000851660518097,0.8399627229298909,0.8196419528170318,0.8096431516423519,0.6038054358123974,0.7301706278148256,0.8112022847618501,0.797010092659169,0.8457713863830868,0.8070815424301804,0.6209551063780212
i want to revoke the approved leave,0.7017089207822933,0.41220242693185016,0.753133504491049,0.3680802331098926,0.48790214338214066,0.9719751743890569,0.706693285675662,0.9292146225839022,0.6859502418244092,0.48578859143771835,0.6766512559696883,0.5638765950368434,0.6748175471710516,0.9152414839580473,0.6857024761555885,0.16139839775172538,0.7727046941435537,0.7103652838385774,0.7291129844536135,0.62599427419498,0.7211035868384257,0.7679015976687786,0.7679178641319491,0.598012984212472,0.0,0.33960212242569177,0.551311762569767,0.7753689710420179,0.6381479301207724,0.7047027450828066,0.7399375775030808,0.8740517696435536,0.44664139448576257,0.7421217366260089,0.7269210615756511,0.8154215321228871,0.6860581157515928,0.5689431605709186,0.6534099759146015,0.7103693227919734,0.682646950718402,0.7074674152251179,0.42108320426800583
leave approval,0.49611006255414836,0.2719222767045709,0.6398158475730815,0.30686133695486495,0.33245145296404177,1.0286895081540213,0.6606130979776412,0.882859627801157,0.698501815307967,0.4657785938853716,0.5651825528032124,0.42024789456687617,0.6683166958147226,0.8847400037864439,0.6378412313275135,0.390871682399494,0.6738980805844232,0.5930287155803304,0.6214167146859374,0.5922578014689974,0.6361668696828615,0.6274196600770245,0.6888022550887271,0.5050385426033022,0.33960212242569177,0.0,0.6024036002234378,0.673105071961775,0.509894764933226,0.4779884178307595,0.5850560391464545,0.8741176903793793,0.39803533107753464,0.6845006684146402,0.6996868841755941,0.651169373498752,0.541391502426386,0.6322827655916092,0.5403390943330664,0.5631752244094991,0.6398673210643645,0.6538805428055725,0.4296683798762918
not able to approve attendance regularization request,0.5738220551344442,0.5685756098997781,0.6691204564902579,0.6323308432066372,0.5638280298284939,0.9925222552682084,0.6371585769260873,0.7917973430966228,0.6774232952691058,0.4600972555511257,0.6201937047086735,0.649411887083167,0.42127018845797537,0.8573439239021046,0.6526468252072636,0.6560303715508674,0.8047358092092276,0.7657426960688757,0.7208455554732556,0.39908379853787446,0.7645882929632637,0.7475831499463472,0.8288945456498449,0.7212406759704268,0.551311762569767,0.6024036002234378,0.0,0.7769649043167846,0.5935151888936812,0.6983829212531802,0.7755498881426004,0.8971682483502481,0.6496420277360773,0.7587985452614736,0.839977875446173,0.7918355238513922,0.5709268075628793,0.4636822282727805,0.6831061216631478,0.7599697001784287,0.8128530142565779,0.687599794303993,0.5118909054984456
please approve sir,0.6446426052729112,0.744905620184168,0.7082793216105213,0.8212481482509069,0.7665314905278846,0.9029899846696067,0.6866574773584744,0.8290460759345849,0.7083732811883277,0.7703925809611207,0.6039570605430634,0.7639667371730743,0.8801806194327325,0.7710819424167896,0.6755699312536202,0.8507699320460648,0.7351585928046926,0.6992646932552752,0.7012340420939933,0.789950061676564,0.7231462059480779,0.7365090990959406,0.7777484836208951,0.8571317178569458,0.7753689710420179,0.673105071961775,0.7769649043167846,0.0,0.8117465962360554,0.5643908258996468,0.704644667424752,0.832310723078235,0.777139885216797,0.7184145202440875,0.7754834624767429,0.7598955154622431,0.8024108378599095,0.7800090323343216,0.6834861516410777,0.7371478343884637,0.7291828928239238,0.772057393520153,0.751794592319601
separation approvals not open kindly check,0.5591523492738303,0.6657227898862834,0.6692190469774162,0.7487684846582892,0.6587724995998991,0.9530563514056171,0.6929077577834043,0.8313811217411045,0.7048147031767475,0.4682155524471797,0.5897138020945214,0.5707669966628488,0.7621921817634901,0.8623282311920599,0.6528412469582208,0.7579979401883274,0.6601640178220203,0.6299547809292045,0.603370856418324,0.7469550740704123,0.593852052646953,0.5854547338520031,0.6304536478358143,0.3685140714371886,0.6381479301207724,0.509894764933226,0.5935151888936812,0.8117465962360554,2.220446049250313e-16,0.6506016436892239,0.6433375441164869,0.9324652136718964,0.6643720619635649,0.6907524278292267,0.6441109357640715,0.7303863215920268,0.6674688631997572,0.5994671061963746,0.5813783722029997,0.6119638968054126,0.6700201576834133,0.662081695316183,0.49387971356024396
show approval,0.3880735539018957,0.6461316989086423,0.5948519996489475,0.7052564996330641,0.7046621501645925,0.787618544242717,0.6052532435584238,0.8764114832516618,0.6299167226466722,0.5387497247298184,0.4410319465998892,0.5215033694006947,0.830861441393875,0.7758113345555869,0.6260927032125703,0.831369188642072,0.4220649986254541,0.2439156634434595,0.40004694100450877,0.551233620089244,0.3577766766300312,0.35763613028318064,0.38614218245264986,0.7635558349732311,0.7047027450828066,0.4779884178307595,0.6983829212531802,0.5643908258996468,0.6506016436892239,0.0,0.18310090000478185,0.5685058639562386,0.5149255395915739,0.4001309393645872,0.3945036289467603,0.37292098344923685,0.5658565219736906,0.6307158707978415,0.2960886494261292,0.30973995564500956,0.36059133580663216,0.5649850429830006,0.6543246878437361
show approvals,0.5309669182987204,0.6960230317773524,0.6779018955857272,0.7441401070654172,0.7225485935428915,0.6187059086396958,0.5549699701385362,0.9181254749632306,0.5327256132320147,0.5884784817154591,0.49437374403651124,0.49407922057152187,0.8322872600509301,0.7753125384063051,0.7053464578074129,0.8572418270465246,0.21002796465174645,0.0633657681543146,0.2550619684362643,0.46768880833561,0.17270224677351187,0.15113441968244146,0.1365847815824882,0.8249301782736516,0.7399375775030808,0.5850560391464545,0.7755498881426004,0.704644667424752,0.6433375441164869,0.18310090000478185,0.0,0.653487541387769,0.4031046258833756,0.2537445163666755,0.17820669080732277,0.19052189456608737,0.6993212451712736,0.7413831257228038,0.223006356638904,0.13993047172034223,0.15324863633008734,0.4675637653669831,0.7005757732114527
show approvasl,0.8072580220012414,0.9527530689595851,0.8856487965563866,0.907987916968886,0.9068467280282192,0.7195014775500522,0.8036232182732919,0.8487702677388053,0.8267569924766216,0.7077958508279671,0.7405146366290869,0.8369010597622872,0.8891829810754901,0.7137079865347332,0.8506176975019707,0.9160201960807569,0.7966626042313288,0.7170236204841048,0.7826930979216453,0.7408858571813075,0.7736453466155219,0.7797003431382111,0.7451771884080014,0.9616273258483413,0.8740517696435536,0.8741176903793793,0.8971682483502481,0.832310723078235,0.9324652136718964,0.5685058639562386,0.653487541387769,0.0,0.7577955631175999,0.7366320506863251,0.7306643089794971,0.7472661770271252,0.8699195142858798,0.8862048556025508,0.6801019556437733,0.7863892987543901,0.7819120846199088,0.8930363613995973,0.8779987968190557
show my approved leave requests,0.48150035990582385,0.30207470224992616,0.6529997572364286,0.4325092356336858,0.37670493165393204,0.5739605027069208,0.48051975389379986,0.8652267647768407,0.3949702401638009,0.585312827208472,0.3930199944984557,0.5350230136421064,0.6215487219798708,0.657595128777988,0.659895120979926,0.46583777118491587,0.39216760964985276,0.3856626514387774,0.3221412641393768,0.2853493145460051,0.3753498477063726,0.44344274665978245,0.4374870843416999,0.7000851660518097,0.44664139448576257,0.39803533107753464,0.6496420277360773,0.777139885216797,0.6643720619635649,0.5149255395915739,0.4031046258833756,0.7577955631175999,0.0,0.2546141946809112,0.3891966819889674,0.4862993182093872,0.6405483175007405,0.7460819975443953,0.5584472659277854,0.5062099742276058,0.3722690182514167,0.37475245813167335,0.6199182199843296
show my approved requests,0.37338301983734856,0.6511517888408713,0.5399923490938061,0.7913023609449537,0.6833072686055099,0.3032837534328561,0.40436832510996035,0.8418492327170305,0.28261993017839326,0.6513378104351839,0.22903997775987217,0.5993482006178048,0.786437224983319,0.5031426909347949,0.605650943480028,0.8223781793575544,0.2470662898558098,0.22617850101183723,0.1536867735586135,0.3599291535960166,0.2244582523370141,0.3025773738032618,0.26866141922502873,0.8399627229298909,0.7421217366260089,0.6845006684146402,0.7587985452614736,0.7184145202440875,0.6907524278292267,0.4001309393645872,0.2537445163666755,0.7366320506863251,0.2546141946809112,0.0,0.21611656676508795,0.39883591117275596,0.6979576858643528,0.748552703800111,0.4164785552101188,0.3292123029153181,0.21204924186000007,0.17830128522720934,0.7495335586878
show my processed approvals ,0.5795634428549628,0.7671454534413354,0.6837857822020803,0.7846976450912044,0.7994789209979118,0.5264064031383302,0.5986127478420176,0.9395287717929609,0.488491519233925,0.6045613648195677,0.478429514959428,0.55050168602067,0.8637169314706477,0.7592886867942694,0.7773610983779417,0.8253755323017966,0.14503097694216505,0.15804775576849195,0.20985270781697696,0.4906519272922041,0.1104223270495781,0.20078807879654315,0.06220815148930181,0.8196419528170318,0.7269210615756511,0.6996868841755941,0.839977875446173,0.7754834624767429,0.6441109357640715,0.3945036289467603,0.17820669080732277,0.7306643089794971,0.3891966819889674,0.21611656676508795,0.0,0.3348567210334482,0.783742019803818,0.7710016372108957,0.3799367243845371,0.27252591651133473,0.1170280114371075,0.40632860507336965,0.6871833581483637
show reportees approvals ,0.606158768328424,0.701220359819277,0.7143388809294653,0.7781511003839294,0.4769653927202875,0.6822949530166169,0.5716488070076206,0.9599538345289981,0.5896066704272762,0.7049134609753138,0.5851670818431081,0.27852560832716544,0.5864308695880445,0.8279033121169843,0.6818650046052599,0.902083676867805,0.3474563616605314,0.2240651927864764,0.3978394828659666,0.510107803175521,0.3501253398890417,0.3039358017754574,0.288746790748319,0.8096431516423519,0.8154215321228871,0.651169373498752,0.7918355238513922,0.7598955154622431,0.7303863215920268,0.37292098344923685,0.19052189456608737,0.7472661770271252,0.4862993182093872,0.39883591117275596,0.3348567210334482,0.0,0.7072124917786481,0.7731065933108623,0.3871287818135616,0.2767118565505502,0.32651698246053984,0.5793968489017263,0.7468320756331215
step to approve travel request,0.47820291606698473,0.4947560560488089,0.5458974663585501,0.6984733919908162,0.5314571513321764,0.9485897978185135,0.654627738849308,0.828068558235949,0.7058929239128835,0.6462364417902404,0.6244393339727539,0.6866921474052368,0.7072184031861364,0.8271902131057067,0.5752378090100255,0.7491544512442961,0.7438380662571771,0.6784589997525872,0.6657566545810824,0.6664300548109375,0.7235629741473222,0.7082993640417982,0.7619132851476041,0.6038054358123974,0.6860581157515928,0.541391502426386,0.5709268075628793,0.8024108378599095,0.6674688631997572,0.5658565219736906,0.6993212451712736,0.8699195142858798,0.6405483175007405,0.6979576858643528,0.783742019803818,0.7072124917786481,0.0,0.6422590355852466,0.674925639630845,0.7005090724862206,0.7714461334073565,0.6621981071783063,0.689245360786697
unable to approve reimbursement,0.5658288728467065,0.6691801182447578,0.6535364339951395,0.6541456332091642,0.6741597546328397,0.9925909175460904,0.6484660741870976,0.7834906567677208,0.7316998723627293,0.48557739406183076,0.6018434337676318,0.6578339464577715,0.6884901631626643,0.8597991132287959,0.6062955292977623,0.7050510903643613,0.7806174961357553,0.6986949533276954,0.7368430028932941,0.6984184481053942,0.742684346433959,0.7499328630266486,0.7768190206080176,0.7301706278148256,0.5689431605709186,0.6322827655916092,0.4636822282727805,0.7800090323343216,0.5994671061963746,0.6307158707978415,0.7413831257228038,0.8862048556025508,0.7460819975443953,0.748552703800111,0.7710016372108957,0.7731065933108623,0.6422590355852466,0.0,0.655059148481147,0.7237828798673897,0.7546565525976128,0.6519203639657862,0.5465287543397196
view approvala,0.5125417186405609,0.6813616430935585,0.6248131045805354,0.7273530691524638,0.7260333742301726,0.7161231743682117,0.5694826057607607,0.8564882308335603,0.5938380570961541,0.4798835872391206,0.5219915333104769,0.5381581406334688,0.8003589517797706,0.7728087100258159,0.6613661207683569,0.7899230235592503,0.41891495023374514,0.28762800214875495,0.41066728286197585,0.5537787834882433,0.3647153372778097,0.34472303716566377,0.33953536220927405,0.8112022847618501,0.6534099759146015,0.5403390943330664,0.6831061216631478,0.6834861516410777,0.5813783722029997,0.2960886494261292,0.223006356638904,0.6801019556437733,0.5584472659277854,0.4164785552101188,0.3799367243845371,0.3871287818135616,0.674925639630845,0.655059148481147,0.0,0.14260185038536455,0.27426798989376056,0.4981730660657956,0.6115656137514687
view approvals,0.5045955469375903,0.686324791100193,0.6287624383729179,0.7242732116839741,0.7071555742433621,0.641629023561392,0.5999445594277981,0.9295820717706469,0.5714789172640315,0.5744404485373267,0.5174271871113956,0.4919736393089307,0.802916687866241,0.8023587907969361,0.6829277771094555,0.8288795090224634,0.3242734024075101,0.19798556829404412,0.34391531637211603,0.5344883990628517,0.280353919567519,0.26207811903720024,0.22749221969916844,0.797010092659169,0.7103693227919734,0.5631752244094991,0.7599697001784287,0.7371478343884637,0.6119638968054126,0.30973995564500956,0.13993047172034223,0.7863892987543901,0.5062099742276058,0.3292123029153181,0.27252591651133473,0.2767118565505502,0.7005090724862206,0.7237828798673897,0.14260185038536455,0.0,0.17277403856298357,0.45252774935343765,0.7037728999992574
view my approvals,0.5397606508994888,0.703041869314373,0.6971844649907205,0.7545513969617696,0.7513312571901394,0.5208724549816539,0.5819433655520438,0.8853131268917545,0.4659518464527638,0.6120068135737444,0.45474561402260705,0.5398832166725653,0.8595855879589329,0.7234934803953211,0.7523634146911385,0.7709806687280155,0.19637906783337422,0.2007335824308102,0.2481666095356112,0.46724022976043555,0.16866991543178078,0.28446239133310225,0.19791533796802308,0.8457713863830868,0.682646950718402,0.6398673210643645,0.8128530142565779,0.7291828928239238,0.6700201576834133,0.36059133580663216,0.15324863633008734,0.7819120846199088,0.3722690182514167,0.21204924186000007,0.1170280114371075,0.32651698246053984,0.7714461334073565,0.7546565525976128,0.27426798989376056,0.17277403856298357,0.0,0.34657496710230074,0.6773406273203921
where are my approved requests,0.3946517021683772,0.6415980054041113,0.5293507946546344,0.7731904811917802,0.6799721987168863,0.4984255422015441,0.4159413447542888,0.7595375359561386,0.30695157125563144,0.6343880107419207,0.25357907534712987,0.6129741267623434,0.7485893183724949,0.5557654296062373,0.5947934256484766,0.8035809346815999,0.4418147366384805,0.42751190050466814,0.3139077211140612,0.4694752315522308,0.4157925635857146,0.4992722702994049,0.463466731008061,0.8070815424301804,0.7074674152251179,0.6538805428055725,0.687599794303993,0.772057393520153,0.662081695316183,0.5649850429830006,0.4675637653669831,0.8930363613995973,0.37475245813167335,0.17830128522720934,0.40632860507336965,0.5793968489017263,0.6621981071783063,0.6519203639657862,0.4981730660657956,0.45252774935343765,0.34657496710230074,2.220446049250313e-16,0.7018091586115311
why i can't approve the resignation  file?,0.5984410006951008,0.5977674555675108,0.7331612182045308,0.5669600548792244,0.5806563651087078,1.007444774326622,0.6895003443758521,0.9077717976090149,0.7161166462371673,0.383004548523011,0.6709205181021969,0.5511405753527262,0.6873957850896881,0.8972906443704923,0.6911490090977495,0.531258352806375,0.7045785059983704,0.6961064157645056,0.6612376614446971,0.6934591015276429,0.6363358218567113,0.6773230198732174,0.725408598698172,0.6209551063780212,0.42108320426800583,0.4296683798762918,0.5118909054984456,0.751794592319601,0.49387971356024396,0.6543246878437361,0.7005757732114527,0.8779987968190557,0.6199182199843296,0.7495335586878,0.6871833581483637,0.7468320756331215,0.689245360786697,0.5465287543397196,0.6115656137514687,0.7037728999992574,0.6773406273203921,0.7018091586115311,0.0
