,Are there any tasks assigned to me right now,Did i clear all my tasks,Do i need to act on any pending tasks,HOW TO CANCEL LEAVE APPLIED IN DARWIN BOX,How do I cancel my leave application,How many pending tasks are exists,How to approve this change,Show Confirmation tasks,Show Continous feed back tasks,Show Custom workflow tasks,Show PMS tasks,Show Recruitment tasks,Show all tasks,Show continous feedback tasks,Show pending tasks in my Que,Show separation tasks,View taskbox,WHERE ARE THE PENDING TASKS,What's my pending task,cancel out duty,check leave requests,di task box raised by me masih ada,find my leave application,how can I update task,how do i cancel my leave appliaction,how to approve attendance,how to approve reimbursement,how to approve resignations,how to approve?,how to cancel attendance request,how to cancel the attendance request pending or edit the same,how to coco,how to delete cl,how to edit leave,"open tasks; the two tasks are now redundant, this needs to be cleared from the followup.",pending task,pending tasks,projects are not reflected properly in the project module,show my tasks,show pending tasks,task,taskbox,things to be done,view task,what activity,where is pending task,where to find resignation made by team member
Are there any tasks assigned to me right now,0.0,0.3342034079732057,0.3683671772951468,0.9269859121619568,0.8987584068198491,0.504811122334472,0.8982362212163629,0.5839509886658552,0.6474016080529247,0.6355814988991924,0.5704692611257239,0.6129201958796745,0.5250355296532335,0.6958469763092645,0.539611994840221,0.7464886249878566,0.7305149463364431,0.463124877120881,0.3437774870428286,0.6478634957181397,0.6535628946716274,0.5878636654026346,0.7746899155473974,0.6002698520078169,0.8454071596927765,0.8191927009259969,0.8658736146519499,0.8729877180827603,0.8465318035033007,0.8955080602665793,0.8543501347871679,0.9717966120554637,0.9674462313328263,0.8354669375935311,0.5977220309387368,0.4403224258275562,0.38129662796919905,0.850865863867893,0.42191782871309624,0.5285896477429942,0.506039521839029,0.6614920227320908,0.4879851742681426,0.5024428232500588,0.6927066675773308,0.5085858380960305,0.9732649206794034
Did i clear all my tasks,0.3342034079732057,0.0,0.37356628422396676,0.8495278360649361,0.8599261434063268,0.4680732070353677,0.9474424143441973,0.5018054520651376,0.6701728446343367,0.5667515735119026,0.5498486121089609,0.7243356652284538,0.39277240947038516,0.7247705947138289,0.5238231959763126,0.7604535043732533,0.6643888269886442,0.3666669193495893,0.3853402771099814,0.7219920028207609,0.8159134273117226,0.6041903363983742,0.7888280374292761,0.5133549154364667,0.830577598629829,0.959941788404982,0.9316059429172637,0.9062832228985809,0.9045406447738187,0.9078716676952885,0.8535002743224434,1.0220536071529118,0.8087090321450175,0.856490018858124,0.48304694074283305,0.4616873889608777,0.39966018302392947,0.6994752261284667,0.35276950835989507,0.5025271603655399,0.5336965226680359,0.6351852410743917,0.6204044676237134,0.4790945809350816,0.74451666629137,0.4485864829617623,0.893215281845511
Do i need to act on any pending tasks,0.3683671772951468,0.37356628422396676,0.0,0.8716508779994117,0.9337836525094285,0.4306218555382637,0.8354416080887004,0.5841209911082108,0.6768076872593188,0.6893451831363107,0.676144506159439,0.7659261062134497,0.5997853934051984,0.7339963278957733,0.49074584044606584,0.779398969099641,0.7808443057331157,0.4196428558371462,0.3498871283782875,0.6659634338586329,0.779326791135927,0.6598045472988767,0.9473799409696516,0.5810827237758606,0.9231533254473374,0.8967490128119503,0.8961361314849142,0.8587938793599507,0.7876488430997404,0.9275764567084276,0.7934860243474297,1.0013518569799829,0.9577581836424893,0.8857751777185793,0.5320264015651378,0.3623953849161924,0.28541672731917245,0.8620793939514699,0.5625790909739921,0.4676024375351525,0.6104861444459747,0.7123222219129701,0.6170601285173407,0.5639565731849936,0.7351293821158955,0.45932890427904316,1.056315122791324
HOW TO CANCEL LEAVE APPLIED IN DARWIN BOX,0.9269859121619568,0.8495278360649361,0.8716508779994117,0.0,0.41967151165348926,0.9035260351719684,0.7361959879085129,0.8602895999817348,0.8791168038414066,0.98916190937956,0.9595728907030748,0.9508109737433704,0.9565644707833039,0.8908880246261245,0.9587696792684774,0.8542974148710831,0.8460990134242536,0.8587844813867901,0.8449920320004167,0.6694556759803969,0.6220596968240513,0.7417987357662101,0.680163632759806,0.8264510103541336,0.37482340230672273,0.8301816918171019,0.8406803490240872,0.7099220874986116,0.8044817432042964,0.6083374413345168,0.6249600152750818,0.8402436960348421,0.6522258612170744,0.4411784501822338,0.7590367689245291,0.8146768366954238,0.8686024357571052,0.9872263617429353,0.9353237572370107,0.9356529065929511,0.9270904151822896,0.7908816237347832,0.9344796638724784,0.8967773580088684,0.9783692291943475,0.8301367111950607,0.8184390482062545
How do I cancel my leave application,0.8987584068198491,0.8599261434063268,0.9337836525094285,0.41967151165348926,1.1102230246251565e-16,0.878426477696071,0.7166843943202239,0.8433920661449501,0.9673493140966889,0.9414264038996366,0.9597110359349605,0.8692887365941158,0.9852698925627814,0.9819273224173961,0.9143712897412789,0.9462449701079193,0.96981089676258,0.8585692424119743,0.8445276594062356,0.6424831231209689,0.5464005362007552,0.8522764727009958,0.40405482183822483,0.8494723179718126,0.07510150819718076,0.6261271057750386,0.7202873108717037,0.5135463873957011,0.650631215020099,0.3479396078952298,0.4459329976432055,0.9139087436772418,0.7421645358829181,0.4607043201340304,0.8180276834133096,0.8404113299680729,0.8760825482528094,0.9611485641202058,0.9161597532541896,0.9042581067307309,0.9218300979666466,0.9494622330618762,0.9232426230394697,0.9412115466860173,0.9589637632665955,0.8287813449614527,0.7165876333762421
How many pending tasks are exists,0.504811122334472,0.4680732070353677,0.4306218555382637,0.9035260351719684,0.878426477696071,1.1102230246251565e-16,0.8383861591493396,0.45340949832656174,0.570122827874333,0.5548023314568371,0.5512926879623232,0.6108983264588352,0.433609177881249,0.6289108287920043,0.27637351841814894,0.7165396061166831,0.6499554805977327,0.21918880107631256,0.291316082540637,0.7745420775445326,0.732826298917614,0.5964406542851206,0.8345927609962418,0.521190992180659,0.8797566063228639,0.8869878180202,0.9099794322462003,0.8438533999891586,0.8059808798025851,0.927418202400334,0.7645130103989428,1.0529965332232973,0.9534237980114549,0.8734605225947389,0.5321767349197026,0.2656990836492018,0.17564435593599115,0.7654290064101649,0.4651272312256792,0.22428129911807193,0.6021456320902904,0.6536162064368858,0.630670793872703,0.49932121108866123,0.7555103515615267,0.2422391523736247,0.8620936083785864
How to approve this change,0.8982362212163629,0.9474424143441973,0.8354416080887004,0.7361959879085129,0.7166843943202239,0.8383861591493396,0.0,0.747589416180052,0.9688865025119477,0.9607866797279135,0.9933440020228516,0.9024852004737384,1.0131049441373914,0.917091835081531,0.8807759165069731,0.9285322519150122,0.9847942339724814,0.8488356162419717,0.8052957160825589,0.838707403901793,0.826647420546489,0.8151262801709533,0.9204946641640627,0.6575040945913961,0.7176114648182136,0.5606004435782367,0.5112557213865805,0.5049092216296682,0.22584221728151443,0.6676090055851559,0.5284723444483569,0.8843959131468109,0.8033984538570801,0.5655258181255561,0.7811444057912128,0.7767844328045355,0.8319802983314469,0.9046269309132529,0.9555243007870206,0.8760086668739686,0.8577533407464306,0.9683759068012328,0.82079015149208,0.901246247323555,0.9277705031673988,0.8020281606507703,0.9029727030988095
Show Confirmation tasks,0.5839509886658552,0.5018054520651376,0.5841209911082108,0.8602895999817348,0.8433920661449501,0.45340949832656174,0.747589416180052,0.0,0.3682261693081901,0.35235766983756267,0.40012146581015917,0.4891462645570438,0.2868758178416223,0.4259894503925479,0.35634436268546876,0.5739812993115081,0.461761312282272,0.3913874280617552,0.48404905599068104,0.8137480674960658,0.6741497743005831,0.6264007938567449,0.7947856230732595,0.5489389511872684,0.8489852539272784,0.685481506763068,0.7513687818811381,0.7320263614851529,0.6276008335054466,0.8044382060032155,0.7624013501714904,0.9502327668375563,0.9728328921549767,0.8079063094172363,0.5454885260694571,0.48704136302656187,0.42065920864745965,0.8347636203827077,0.27698561647485187,0.25000755571560895,0.5524580679252861,0.596706668810481,0.6890044092396717,0.35559946948344723,0.8193930673996273,0.43386636387209077,0.7988868989463117
Show Continous feed back tasks,0.6474016080529247,0.6701728446343367,0.6768076872593188,0.8791168038414066,0.9673493140966889,0.570122827874333,0.9688865025119477,0.3682261693081901,0.0,0.4505973100015733,0.5021806293170836,0.5313800746712197,0.3835148105848114,0.17998947413192912,0.45773067412536883,0.5011819934358621,0.5219227075715447,0.5754561649108152,0.5940829679831201,0.8184379892457645,0.7950207144854357,0.6601419675519536,0.8841159355475565,0.6134885361988651,0.9445592316833109,0.8767112209880795,0.9201554718342678,0.9354018466668121,0.9212194228186994,0.960022257848314,0.926857937595526,0.9052058584962254,1.0500355037049047,0.8832927114931022,0.6560168678376799,0.5966888461119885,0.5364186253955086,0.8941030441387181,0.3787305404606637,0.39456246114376936,0.5988284872856283,0.5778437318232703,0.737514740532492,0.39029767268720295,0.7974677911613983,0.6015014830391461,0.9013765251077057
Show Custom workflow tasks,0.6355814988991924,0.5667515735119026,0.6893451831363107,0.98916190937956,0.9414264038996366,0.5548023314568371,0.9607866797279135,0.35235766983756267,0.4505973100015733,0.0,0.40325234760162953,0.5245317991176512,0.29749756529504634,0.5097758495222595,0.40476354256935065,0.6045426448672879,0.48633171252716867,0.481119751302034,0.5738012957355914,0.8773766975150572,0.8261676468820758,0.7044797850513336,0.8205454346518056,0.626988211225868,0.9490827112174016,0.8656136025811039,0.9057775221727286,0.9060345582963261,0.8835733485145384,0.9292228776042307,0.895498754797651,1.0008432549915076,1.0343582342384787,0.8941211031274205,0.6481819134326892,0.6082866942181167,0.5251379258369998,0.8015025958767048,0.27028271222864597,0.35649785054929484,0.65858254457799,0.654722713039656,0.7541618040224645,0.408351889371269,0.7730288260803938,0.5522674812571807,0.8455037906105115
Show PMS tasks,0.5704692611257239,0.5498486121089609,0.676144506159439,0.9595728907030748,0.9597110359349605,0.5512926879623232,0.9933440020228516,0.40012146581015917,0.5021806293170836,0.40325234760162953,0.0,0.5358647370699342,0.3219085872224371,0.5416526549407759,0.42249378373497715,0.624867423537969,0.5110169694892525,0.47849137778928585,0.5517115066488313,0.9176254761465003,0.7516662720432004,0.6546961352572291,0.7795002452713009,0.645111889302817,0.9339670884693916,0.885944748692652,0.942483368475406,0.8791717552336021,0.9220083585783663,0.9520467727303387,0.9111913425710362,1.0206907296534045,1.0622330094442012,0.8237823940469566,0.6607422246347161,0.6006824515312795,0.5230679110513646,0.7812508060431284,0.24291703103334306,0.37486688245223454,0.603620705931927,0.636127106535409,0.6505613625273197,0.40852680796979435,0.7802878035609289,0.5420276783768871,0.7815916836459594
Show Recruitment tasks,0.6129201958796745,0.7243356652284538,0.7659261062134497,0.9508109737433704,0.8692887365941158,0.6108983264588352,0.9024852004737384,0.4891462645570438,0.5313800746712197,0.5245317991176512,0.5358647370699342,2.220446049250313e-16,0.47271040918194895,0.5934881472183429,0.547762732084722,0.5911878680619956,0.6370980554636833,0.6197594332376914,0.6767569105116193,0.7992853181120936,0.6635453145050229,0.751027247543585,0.697669534610164,0.7040276348903298,0.9081070249058829,0.7164781194697821,0.9055786272078379,0.8083154490463424,0.8317681908979945,0.8913290503089415,0.84097359138528,0.9688209058029802,1.0442557111590802,0.8273627489572469,0.6739441343356248,0.6600064183597987,0.5886510322918617,0.8641214323777923,0.46859581958737695,0.48603493943833154,0.5916621493508887,0.6766692797954013,0.658021905526093,0.5130580632159849,0.73553902316435,0.6766912167050809,0.8130411150791245
Show all tasks,0.5250355296532335,0.39277240947038516,0.5997853934051984,0.9565644707833039,0.9852698925627814,0.433609177881249,1.0131049441373914,0.2868758178416223,0.3835148105848114,0.29749756529504634,0.3219085872224371,0.47271040918194895,2.220446049250313e-16,0.4844507466070277,0.3205037393161184,0.5422091963949283,0.35739161725267843,0.35929039154314624,0.49078278151874866,0.8419097959454029,0.8312993023783473,0.594945095454102,0.8135612264761242,0.5395407930440614,0.973906450918569,0.9552363088164008,1.0051631363824938,0.95978574275252,0.9755436103249908,0.9884716597560304,0.937667025912114,0.9830667000149479,0.9814467815070319,0.8836329070844909,0.5589604982334444,0.5413254262046567,0.431979083638389,0.7664035086272019,0.11346511186060648,0.23373233265035487,0.5122044902249636,0.5288454825654167,0.5881635592203329,0.25328252541771545,0.7215034199250887,0.45732551695093604,0.8236998016262893
Show continous feedback tasks,0.6958469763092645,0.7247705947138289,0.7339963278957733,0.8908880246261245,0.9819273224173961,0.6289108287920043,0.917091835081531,0.4259894503925479,0.17998947413192912,0.5097758495222595,0.5416526549407759,0.5934881472183429,0.4844507466070277,0.0,0.5675950500256703,0.4972407185558593,0.5241465403131078,0.6409892339777494,0.6734143801668646,0.8386621432441486,0.7992157822153539,0.6789735445842091,0.9389168988176841,0.6438032273539268,0.9398234736831639,0.8709312819711557,0.8985579407400505,0.9072638027091788,0.895195788563934,0.9619027900168734,0.9280986512006055,0.9047709452412134,1.0487448953399534,0.8718247374353489,0.7308405456937648,0.6646700834861561,0.6097157817458253,0.9216378247118715,0.45275953529416413,0.48398525586841346,0.6121649838634828,0.5745013774268009,0.7393965028112747,0.4432222314276115,0.8018524395904301,0.6634999497511817,0.9034730517836917
Show pending tasks in my Que,0.539611994840221,0.5238231959763126,0.49074584044606584,0.9587696792684774,0.9143712897412789,0.27637351841814894,0.8807759165069731,0.35634436268546876,0.45773067412536883,0.40476354256935065,0.42249378373497715,0.547762732084722,0.3205037393161184,0.5675950500256703,0.0,0.6733914532676344,0.5594661476428512,0.3022418401933479,0.368833185839589,0.8198774142885785,0.7416426006789862,0.6297302761789303,0.8290320917762353,0.5243129553077495,0.9190329658537763,0.8560895138511994,0.9457864775247249,0.85530600246913,0.8282543290910788,0.8954990483454389,0.7606565504454044,1.019694957404283,0.9941426534791473,0.8572169847879101,0.6191213595874676,0.3365812688963741,0.27411761030254345,0.7782743098049232,0.30290757308746363,0.11367820120777705,0.6252002630049975,0.6655509553797652,0.6857071220312272,0.4323961268199288,0.7762374709148487,0.31742943386886247,0.857447381115642
Show separation tasks,0.7464886249878566,0.7604535043732533,0.779398969099641,0.8542974148710831,0.9462449701079193,0.7165396061166831,0.9285322519150122,0.5739812993115081,0.5011819934358621,0.6045426448672879,0.624867423537969,0.5911878680619956,0.5422091963949283,0.4972407185558593,0.6733914532676344,2.220446049250313e-16,0.6330226007176727,0.7168331677272881,0.7230362352179753,0.8200433926143484,0.7655987430691755,0.7204641800517575,0.8926951019137447,0.8028089928899467,0.935471172536333,0.849105151204773,0.9181104548102246,0.9060735781665181,0.8901923959965736,0.924210949822381,0.9123994390287125,0.869387067010646,0.9563535599230721,0.777696560214761,0.6381625809470912,0.7629370062498333,0.6865500861485709,0.935808891606615,0.5365823082894523,0.6208265833122504,0.619209066868468,0.6840813897392315,0.7150882311819284,0.48293637733054606,0.7611301450381462,0.7541519632936464,0.9503197320432821
View taskbox,0.7305149463364431,0.6643888269886442,0.7808443057331157,0.8460990134242536,0.96981089676258,0.6499554805977327,0.9847942339724814,0.461761312282272,0.5219227075715447,0.48633171252716867,0.5110169694892525,0.6370980554636833,0.35739161725267843,0.5241465403131078,0.5594661476428512,0.6330226007176727,0.0,0.5634313973615075,0.5895638261327805,0.9261879634386464,0.8393060945972579,0.47463139643993246,0.8842631481709055,0.6037050150850869,0.9624733338680653,0.9201767647089982,0.9753535066063698,0.9745417455404767,0.9451614334284817,0.9401518176606243,0.9210405191193127,1.0418219541275786,0.999970572553944,0.9230481882880528,0.7173769279414632,0.6026976008532614,0.6326440685538146,0.9115358052585913,0.3635131602886371,0.4414004175525874,0.6084778867761038,0.1948109638242428,0.824059961845486,0.3133038996648667,0.8070932258221819,0.5305567406049381,0.8658887403822911
WHERE ARE THE PENDING TASKS,0.463124877120881,0.3666669193495893,0.4196428558371462,0.8587844813867901,0.8585692424119743,0.21918880107631256,0.8488356162419717,0.3913874280617552,0.5754561649108152,0.481119751302034,0.47849137778928585,0.6197594332376914,0.35929039154314624,0.6409892339777494,0.3022418401933479,0.7168331677272881,0.5634313973615075,2.220446049250313e-16,0.20140537090618915,0.8199589018562126,0.7776382762168824,0.6241671566966294,0.7630679329551884,0.4871716625014235,0.8601726420433757,0.9116544535460667,0.8990891845022371,0.8410712026550464,0.7863270549116643,0.8994149070114661,0.7440758845016556,1.0289149162032238,0.8997275909771228,0.8073329268439146,0.49209885256680985,0.2233379435435936,0.1538237781262558,0.7310890043905343,0.3628671849222527,0.21146033734016678,0.5809322999683706,0.608529959884668,0.5915434620952119,0.4418908998015414,0.7138180477517403,0.07421144131946367,0.7728819719512919
What's my pending task,0.3437774870428286,0.3853402771099814,0.3498871283782875,0.8449920320004167,0.8445276594062356,0.291316082540637,0.8052957160825589,0.48404905599068104,0.5940829679831201,0.5738012957355914,0.5517115066488313,0.6767569105116193,0.49078278151874866,0.6734143801668646,0.368833185839589,0.7230362352179753,0.5895638261327805,0.20140537090618915,0.0,0.705315120746419,0.7763965455003565,0.4953819817375027,0.8034778501009148,0.4936378379657894,0.8315564317979565,0.8819912573543588,0.880292588723687,0.8711788815942462,0.7340119188546061,0.8623130209807361,0.7386774580126538,1.0068309038349763,0.8852093235566114,0.8390672449774421,0.45174403887287995,0.15721875880847325,0.18197857713437682,0.79616121848074,0.40849393820286095,0.30495608678057995,0.4582483271066734,0.5188306177211648,0.5603044741440144,0.42487945641860025,0.6391606360435502,0.1431903899224578,0.9391838934758735
cancel out duty,0.6478634957181397,0.7219920028207609,0.6659634338586329,0.6694556759803969,0.6424831231209689,0.7745420775445326,0.838707403901793,0.8137480674960658,0.8184379892457645,0.8773766975150572,0.9176254761465003,0.7992853181120936,0.8419097959454029,0.8386621432441486,0.8198774142885785,0.8200433926143484,0.9261879634386464,0.8199589018562126,0.705315120746419,0.0,0.7477774636341586,0.782068644542234,0.8798893906287529,0.8020312090160377,0.6026238360480602,0.7826699035259249,0.8919800066998956,0.7534702030456109,0.8455884886688237,0.6911027457689674,0.7449508067492352,0.9399532728806247,0.8361974708343805,0.7692763175807207,0.657909193818897,0.7000840982797577,0.6732493403071573,1.0371392709638843,0.8263691998828222,0.8319590652809277,0.6670942599626203,0.8271597618242654,0.7347861835516389,0.755493294808124,0.8617793928148554,0.8090693523744049,0.9534479208388011
check leave requests,0.6535628946716274,0.8159134273117226,0.779326791135927,0.6220596968240513,0.5464005362007552,0.732826298917614,0.826647420546489,0.6741497743005831,0.7950207144854357,0.8261676468820758,0.7516662720432004,0.6635453145050229,0.8312993023783473,0.7992157822153539,0.7416426006789862,0.7655987430691755,0.8393060945972579,0.7776382762168824,0.7763965455003565,0.7477774636341586,0.0,0.8443467832883064,0.373956843941346,0.9170590184186814,0.5037676988480724,0.5105709341315896,0.711142556505976,0.6399724274075801,0.7613468021497236,0.6509110501226526,0.6863850875457804,1.0523501130424018,1.0253280242562255,0.5160263379845915,0.8264229619506409,0.7935116706241246,0.7317123953489364,1.07822350792072,0.7843532948661022,0.7145845572864487,0.8749462209011379,0.845028299971776,0.8328710811036859,0.7880234068716556,0.9456093662263153,0.7819626225661263,0.6976822065314736
di task box raised by me masih ada,0.5878636654026346,0.6041903363983742,0.6598045472988767,0.7417987357662101,0.8522764727009958,0.5964406542851206,0.8151262801709533,0.6264007938567449,0.6601419675519536,0.7044797850513336,0.6546961352572291,0.751027247543585,0.594945095454102,0.6789735445842091,0.6297302761789303,0.7204641800517575,0.47463139643993246,0.6241671566966294,0.4953819817375027,0.782068644542234,0.8443467832883064,0.0,0.8477932066063041,0.5461773078135835,0.840929781242482,0.8735438327347274,0.9474183431066423,0.8948244280663638,0.8397783437031285,0.8411336578002926,0.7618163479061618,0.9798732854765451,0.8388087788868505,0.8042302199164704,0.5865181443015839,0.5306673787710499,0.5882291285481523,0.7832371079284046,0.5313218543058449,0.5998243134844876,0.5384303417365868,0.4047652247700825,0.7268777481785975,0.5181536161734888,0.74970161887115,0.5304903310701421,0.914906467892174
