,Are there any tasks assigned to me right now,Did i clear all my tasks,Do i need to act on any pending tasks,HOW TO CANCEL LEAVE APPLIED IN DARWIN BOX,How do I cancel my leave application,How many pending tasks are exists,How to approve this change,Show Confirmation tasks,Show Continous feed back tasks,Show Custom workflow tasks,Show PMS tasks,Show Recruitment tasks,Show all tasks,Show continous feedback tasks,Show pending tasks in my Que,Show separation tasks,View taskbox,WHERE ARE THE PENDING TASKS,What's my pending task,cancel out duty,check leave requests,di task box raised by me masih ada,find my leave application,how can I update task,how do i cancel my leave appliaction,how to approve attendance,how to approve reimbursement,how to approve resignations,how to approve?,how to cancel attendance request,how to cancel the attendance request pending or edit the same,how to coco,how to delete cl,how to edit leave,"open tasks; the two tasks are now redundant, this needs to be cleared from the followup.",pending task,pending tasks,projects are not reflected properly in the project module,show my tasks,show pending tasks,task,taskbox,things to be done,view task,what activity,where is pending task,where to find resignation made by team member
find my leave application,0.7746899155473974,0.7888280374292761,0.9473799409696516,0.680163632759806,0.40405482183822483,0.8345927609962418,0.9204946641640627,0.7947856230732595,0.8841159355475565,0.8205454346518056,0.7795002452713009,0.697669534610164,0.8135612264761242,0.9389168988176841,0.8290320917762353,0.8926951019137447,0.8842631481709055,0.7630679329551884,0.8034778501009148,0.8798893906287529,0.373956843941346,0.8477932066063041,0.0,0.9108045777541598,0.4342474640610875,0.6680552321418649,0.8010547620240807,0.7148526439616247,0.8386146900165742,0.7095478535032991,0.7391223129034716,0.9933979307125408,0.9629340907921632,0.5296376481883516,0.8499421489922862,0.8708120064823576,0.8619779176705131,0.9635276962976258,0.753876507001588,0.8098302409662456,0.9137927059090004,0.926708970710481,0.8664553466012139,0.8259707490217485,0.9368025335144508,0.7605000577879787,0.5434522709306122
how can I update task,0.6002698520078169,0.5133549154364667,0.5810827237758606,0.8264510103541336,0.8494723179718126,0.521190992180659,0.6575040945913961,0.5489389511872684,0.6134885361988651,0.626988211225868,0.645111889302817,0.7040276348903298,0.5395407930440614,0.6438032273539268,0.5243129553077495,0.8028089928899467,0.6037050150850869,0.4871716625014235,0.4936378379657894,0.8020312090160377,0.9170590184186814,0.5461773078135835,0.9108045777541598,0.0,0.820307175595123,0.8936396707927472,0.909446536370111,0.8453739521158739,0.7471384423765384,0.8295028149976991,0.674964126495275,0.9584761213810267,0.8679586566638966,0.6834448475555017,0.4955302147851488,0.44289297943538963,0.48064603998918487,0.7575423294487258,0.5004825141054117,0.5355045067016843,0.4807183349610963,0.57336708216979,0.7123762809611274,0.4528225392224614,0.7501367204235707,0.4259348368151532,0.9130281489040394
how do i cancel my leave appliaction,0.8454071596927765,0.830577598629829,0.9231533254473374,0.37482340230672273,0.07510150819718076,0.8797566063228639,0.7176114648182136,0.8489852539272784,0.9445592316833109,0.9490827112174016,0.9339670884693916,0.9081070249058829,0.973906450918569,0.9398234736831639,0.9190329658537763,0.935471172536333,0.9624733338680653,0.8601726420433757,0.8315564317979565,0.6026238360480602,0.5037676988480724,0.840929781242482,0.4342474640610875,0.820307175595123,0.0,0.6234398101554641,0.702087711654725,0.5093403315839533,0.6958798799577006,0.376527578592721,0.4749635215733863,0.9011095461899242,0.7116456165276595,0.3864178828610626,0.8361338261330389,0.8427183557882563,0.8757666593876904,0.9645454689230056,0.887698278172212,0.9162329640797685,0.9201459051814822,0.9346556028946313,0.8813108309584113,0.9281618476643153,0.9685564400182617,0.8346349822106444,0.6727864693343608
how to approve attendance,0.8191927009259969,0.959941788404982,0.8967490128119503,0.8301816918171019,0.6261271057750386,0.8869878180202,0.5606004435782367,0.685481506763068,0.8767112209880795,0.8656136025811039,0.885944748692652,0.7164781194697821,0.9552363088164008,0.8709312819711557,0.8560895138511994,0.849105151204773,0.9201767647089982,0.9116544535460667,0.8819912573543588,0.7826699035259249,0.5105709341315896,0.8735438327347274,0.6680552321418649,0.8936396707927472,0.6234398101554641,2.220446049250313e-16,0.4830193269742282,0.49964672866253423,0.4065004612735654,0.33007705873025206,0.3818046662008606,0.9679467780499547,0.9696075702879261,0.7014538940178785,0.880055393780087,0.862783231951916,0.8634127706885448,1.0017710961446906,0.8792488148671592,0.8450076120365657,0.869688586722509,0.9303506407777523,0.8513657732423386,0.8566144375974005,0.9381352235268595,0.8994085202037146,0.8448733087751632
how to approve reimbursement,0.8658736146519499,0.9316059429172637,0.8961361314849142,0.8406803490240872,0.7202873108717037,0.9099794322462003,0.5112557213865805,0.7513687818811381,0.9201554718342678,0.9057775221727286,0.942483368475406,0.9055786272078379,1.0051631363824938,0.8985579407400505,0.9457864775247249,0.9181104548102246,0.9753535066063698,0.8990891845022371,0.880292588723687,0.8919800066998956,0.711142556505976,0.9474183431066423,0.8010547620240807,0.909446536370111,0.702087711654725,0.4830193269742282,1.1102230246251565e-16,0.5652463493625903,0.38289345688742304,0.690110872157659,0.7226693933502074,0.9617842555843801,0.917772095458404,0.7620538468040242,0.8643829656821398,0.8926270363236699,0.8936079454395054,0.9490949424821109,0.9426265133721025,0.9340675043530708,0.9307120018017652,0.9692576737979397,0.8590429151658612,0.9362937972127204,0.9910740490081483,0.8899442380902097,0.9297846974282336
how to approve resignations,0.8729877180827603,0.9062832228985809,0.8587938793599507,0.7099220874986116,0.5135463873957011,0.8438533999891586,0.5049092216296682,0.7320263614851529,0.9354018466668121,0.9060345582963261,0.8791717552336021,0.8083154490463424,0.95978574275252,0.9072638027091788,0.85530600246913,0.9060735781665181,0.9745417455404767,0.8410712026550464,0.8711788815942462,0.7534702030456109,0.6399724274075801,0.8948244280663638,0.7148526439616247,0.8453739521158739,0.5093403315839533,0.49964672866253423,0.5652463493625903,0.0,0.4425386418036579,0.5958699235181433,0.6375065179400383,0.9178232666340621,0.8105813977445021,0.6756952165126437,0.8237460354261217,0.8398023479775908,0.81009022467091,1.011669608059483,0.9224705873599145,0.8449333496723267,0.8820305764288754,0.9456140151946782,0.8526825533910909,0.9381642889537636,0.9477349063853543,0.843305755617696,0.4908864613052313
how to approve?,0.8465318035033007,0.9045406447738187,0.7876488430997404,0.8044817432042964,0.650631215020099,0.8059808798025851,0.22584221728151443,0.6276008335054466,0.9212194228186994,0.8835733485145384,0.9220083585783663,0.8317681908979945,0.9755436103249908,0.895195788563934,0.8282543290910788,0.8901923959965736,0.9451614334284817,0.7863270549116643,0.7340119188546061,0.8455884886688237,0.7613468021497236,0.8397783437031285,0.8386146900165742,0.7471384423765384,0.6958798799577006,0.4065004612735654,0.38289345688742304,0.4425386418036579,0.0,0.6090112692768498,0.5582738917669723,0.8215366239126505,0.8570779420325764,0.6715356607519014,0.8253881750057783,0.7083858083581038,0.7576706750427553,0.8858459589930185,0.8929422685923953,0.8055909255581739,0.7986776193342655,0.9257380668968113,0.7914702853220669,0.8524371393068448,0.9290862034945013,0.7447855837664819,0.9320602249447713
how to cancel attendance request,0.8955080602665793,0.9078716676952885,0.9275764567084276,0.6083374413345168,0.3479396078952298,0.927418202400334,0.6676090055851559,0.8044382060032155,0.960022257848314,0.9292228776042307,0.9520467727303387,0.8913290503089415,0.9884716597560304,0.9619027900168734,0.8954990483454389,0.924210949822381,0.9401518176606243,0.8994149070114661,0.8623130209807361,0.6911027457689674,0.6509110501226526,0.8411336578002926,0.7095478535032991,0.8295028149976991,0.376527578592721,0.33007705873025206,0.690110872157659,0.5958699235181433,0.6090112692768498,2.220446049250313e-16,0.12105198939708584,0.9687903991546585,0.7565250980616248,0.6335143042998042,0.8110084724767824,0.8220934087439572,0.8651209890900301,0.9914898009118578,0.9376077340065765,0.9025537300047811,0.8928205070864708,0.9306033081841667,0.9191820086445386,0.925096459011115,0.9738900314727146,0.8624701068007945,0.7866028371578437
how to cancel the attendance request pending or edit the same,0.8543501347871679,0.8535002743224434,0.7934860243474297,0.6249600152750818,0.4459329976432055,0.7645130103989428,0.5284723444483569,0.7624013501714904,0.926857937595526,0.895498754797651,0.9111913425710362,0.84097359138528,0.937667025912114,0.9280986512006055,0.7606565504454044,0.9123994390287125,0.9210405191193127,0.7440758845016556,0.7386774580126538,0.7449508067492352,0.6863850875457804,0.7618163479061618,0.7391223129034716,0.674964126495275,0.4749635215733863,0.3818046662008606,0.7226693933502074,0.6375065179400383,0.5582738917669723,0.12105198939708584,0.0,0.9753198383376281,0.7768862186606725,0.5167508728017923,0.7196205423525142,0.6530673659887527,0.708707201817034,0.9186354742795841,0.8927381308617547,0.770916689927471,0.8489226881856248,0.92576795737604,0.8643632135720066,0.859579281636876,0.9383275066717246,0.6921153037552974,0.8317435302329561
how to coco,0.9717966120554637,1.0220536071529118,1.0013518569799829,0.8402436960348421,0.9139087436772418,1.0529965332232973,0.8843959131468109,0.9502327668375563,0.9052058584962254,1.0008432549915076,1.0206907296534045,0.9688209058029802,0.9830667000149479,0.9047709452412134,1.019694957404283,0.869387067010646,1.0418219541275786,1.0289149162032238,1.0068309038349763,0.9399532728806247,1.0523501130424018,0.9798732854765451,0.9933979307125408,0.9584761213810267,0.9011095461899242,0.9679467780499547,0.9617842555843801,0.9178232666340621,0.8215366239126505,0.9687903991546585,0.9753198383376281,0.0,0.7762875076914377,0.8469492882035184,1.0068220607085878,1.0176540910000424,1.0426968607648142,1.0657344443371264,0.949844074359336,1.020966006431601,0.9206467546247533,1.0299026922811978,0.8876656041663361,0.986532037070012,0.9571307215753251,1.0310537179402928,1.0379980501666735
how to delete cl,0.9674462313328263,0.8087090321450175,0.9577581836424893,0.6522258612170744,0.7421645358829181,0.9534237980114549,0.8033984538570801,0.9728328921549767,1.0500355037049047,1.0343582342384787,1.0622330094442012,1.0442557111590802,0.9814467815070319,1.0487448953399534,0.9941426534791473,0.9563535599230721,0.999970572553944,0.8997275909771228,0.8852093235566114,0.8361974708343805,1.0253280242562255,0.8388087788868505,0.9629340907921632,0.8679586566638966,0.7116456165276595,0.9696075702879261,0.917772095458404,0.8105813977445021,0.8570779420325764,0.7565250980616248,0.7768862186606725,0.7762875076914377,0.0,0.7500870951403488,0.8533765511338802,0.9083647202154762,0.9742732102792367,0.9531049143686701,0.9567547189057153,1.003816613071049,0.9115238642283174,0.927725539104638,0.9290386809778124,0.987005038911668,0.9235454944685346,0.8680843075337703,0.884207886937014
how to edit leave,0.8354669375935311,0.856490018858124,0.8857751777185793,0.4411784501822338,0.4607043201340304,0.8734605225947389,0.5655258181255561,0.8079063094172363,0.8832927114931022,0.8941211031274205,0.8237823940469566,0.8273627489572469,0.8836329070844909,0.8718247374353489,0.8572169847879101,0.777696560214761,0.9230481882880528,0.8073329268439146,0.8390672449774421,0.7692763175807207,0.5160263379845915,0.8042302199164704,0.5296376481883516,0.6834448475555017,0.3864178828610626,0.7014538940178785,0.7620538468040242,0.6756952165126437,0.6715356607519014,0.6335143042998042,0.5167508728017923,0.8469492882035184,0.7500870951403488,0.0,0.7959917420819913,0.8353893152430949,0.8577843752840567,0.9481893090976674,0.7993709593074622,0.8662504544325744,0.8554644139123194,0.9227807484197786,0.7690449945160729,0.8065577587812868,0.950397313495197,0.7980151324623274,0.7495241336878263
"open tasks; the two tasks are now redundant, this needs to be cleared from the followup.",0.5977220309387368,0.48304694074283305,0.5320264015651378,0.7590367689245291,0.8180276834133096,0.5321767349197026,0.7811444057912128,0.5454885260694571,0.6560168678376799,0.6481819134326892,0.6607422246347161,0.6739441343356248,0.5589604982334444,0.7308405456937648,0.6191213595874676,0.6381625809470912,0.7173769279414632,0.49209885256680985,0.45174403887287995,0.657909193818897,0.8264229619506409,0.5865181443015839,0.8499421489922862,0.4955302147851488,0.8361338261330389,0.880055393780087,0.8643829656821398,0.8237460354261217,0.8253881750057783,0.8110084724767824,0.7196205423525142,1.0068220607085878,0.8533765511338802,0.7959917420819913,0.0,0.4929934091402668,0.45705871101121065,0.7944439621205919,0.5964294210591244,0.5852765931999094,0.4581779329841901,0.6180449164055595,0.6052447091186479,0.5155463648305016,0.6743177511197032,0.5055998984810095,0.8854105914662868
pending task,0.4403224258275562,0.4616873889608777,0.3623953849161924,0.8146768366954238,0.8404113299680729,0.2656990836492018,0.7767844328045355,0.48704136302656187,0.5966888461119885,0.6082866942181167,0.6006824515312795,0.6600064183597987,0.5413254262046567,0.6646700834861561,0.3365812688963741,0.7629370062498333,0.6026976008532614,0.2233379435435936,0.15721875880847325,0.7000840982797577,0.7935116706241246,0.5306673787710499,0.8708120064823576,0.44289297943538963,0.8427183557882563,0.862783231951916,0.8926270363236699,0.8398023479775908,0.7083858083581038,0.8220934087439572,0.6530673659887527,1.0176540910000424,0.9083647202154762,0.8353893152430949,0.4929934091402668,0.0,0.0827714042554849,0.7698696789657895,0.5071941143848497,0.2664694940023571,0.4557377374708449,0.5509787511038731,0.6175948149994664,0.4721001644199657,0.7098009469437614,0.14792771010324324,0.9121827933719722
pending tasks,0.38129662796919905,0.39966018302392947,0.28541672731917245,0.8686024357571052,0.8760825482528094,0.17564435593599115,0.8319802983314469,0.42065920864745965,0.5364186253955086,0.5251379258369998,0.5230679110513646,0.5886510322918617,0.431979083638389,0.6097157817458253,0.27411761030254345,0.6865500861485709,0.6326440685538146,0.1538237781262558,0.18197857713437682,0.6732493403071573,0.7317123953489364,0.5882291285481523,0.8619779176705131,0.48064603998918487,0.8757666593876904,0.8634127706885448,0.8936079454395054,0.81009022467091,0.7576706750427553,0.8651209890900301,0.708707201817034,1.0426968607648142,0.9742732102792367,0.8577843752840567,0.45705871101121065,0.0827714042554849,0.0,0.7837970150684243,0.43756289020593186,0.19837014173662293,0.4885324927353448,0.5745655251574489,0.5274456559995644,0.4497916250318845,0.6957144164431569,0.19086635821052855,0.909875575100943
projects are not reflected properly in the project module,0.850865863867893,0.6994752261284667,0.8620793939514699,0.9872263617429353,0.9611485641202058,0.7654290064101649,0.9046269309132529,0.8347636203827077,0.8941030441387181,0.8015025958767048,0.7812508060431284,0.8641214323777923,0.7664035086272019,0.9216378247118715,0.7782743098049232,0.935808891606615,0.9115358052585913,0.7310890043905343,0.79616121848074,1.0371392709638843,1.07822350792072,0.7832371079284046,0.9635276962976258,0.7575423294487258,0.9645454689230056,1.0017710961446906,0.9490949424821109,1.011669608059483,0.8858459589930185,0.9914898009118578,0.9186354742795841,1.0657344443371264,0.9531049143686701,0.9481893090976674,0.7944439621205919,0.7698696789657895,0.7837970150684243,0.0,0.7322895410719472,0.7812294846766239,0.8523723275581748,0.9302949479720805,0.8327724718978929,0.8244573611856829,0.9322937846684237,0.7514974141386047,0.960513906911366
show my tasks,0.42191782871309624,0.35276950835989507,0.5625790909739921,0.9353237572370107,0.9161597532541896,0.4651272312256792,0.9555243007870206,0.27698561647485187,0.3787305404606637,0.27028271222864597,0.24291703103334306,0.46859581958737695,0.11346511186060648,0.45275953529416413,0.30290757308746363,0.5365823082894523,0.3635131602886371,0.3628671849222527,0.40849393820286095,0.8263691998828222,0.7843532948661022,0.5313218543058449,0.753876507001588,0.5004825141054117,0.887698278172212,0.8792488148671592,0.9426265133721025,0.9224705873599145,0.8929422685923953,0.9376077340065765,0.8927381308617547,0.949844074359336,0.9567547189057153,0.7993709593074622,0.5964294210591244,0.5071941143848497,0.43756289020593186,0.7322895410719472,0.0,0.23955959939802152,0.49526629804891975,0.5115257868461058,0.6023666707877221,0.24758372541611262,0.7373076164506527,0.43007233177457604,0.8386208028830174
show pending tasks,0.5285896477429942,0.5025271603655399,0.4676024375351525,0.9356529065929511,0.9042581067307309,0.22428129911807193,0.8760086668739686,0.25000755571560895,0.39456246114376936,0.35649785054929484,0.37486688245223454,0.48603493943833154,0.23373233265035487,0.48398525586841346,0.11367820120777705,0.6208265833122504,0.4414004175525874,0.21146033734016678,0.30495608678057995,0.8319590652809277,0.7145845572864487,0.5998243134844876,0.8098302409662456,0.5355045067016843,0.9162329640797685,0.8450076120365657,0.9340675043530708,0.8449333496723267,0.8055909255581739,0.9025537300047811,0.770916689927471,1.020966006431601,1.003816613071049,0.8662504544325744,0.5852765931999094,0.2664694940023571,0.19837014173662293,0.7812294846766239,0.23955959939802152,2.220446049250313e-16,0.5755936356349571,0.5849802651402911,0.6564523883817033,0.35169246300468116,0.7792342481810265,0.2338641554348816,0.8403475580367876
task,0.506039521839029,0.5336965226680359,0.6104861444459747,0.9270904151822896,0.9218300979666466,0.6021456320902904,0.8577533407464306,0.5524580679252861,0.5988284872856283,0.65858254457799,0.603620705931927,0.5916621493508887,0.5122044902249636,0.6121649838634828,0.6252002630049975,0.619209066868468,0.6084778867761038,0.5809322999683706,0.4582483271066734,0.6670942599626203,0.8749462209011379,0.5384303417365868,0.9137927059090004,0.4807183349610963,0.9201459051814822,0.869688586722509,0.9307120018017652,0.8820305764288754,0.7986776193342655,0.8928205070864708,0.8489226881856248,0.9206467546247533,0.9115238642283174,0.8554644139123194,0.4581779329841901,0.4557377374708449,0.4885324927353448,0.8523723275581748,0.49526629804891975,0.5755936356349571,0.0,0.48408979317955814,0.461491065458846,0.36451767360914866,0.5866503377892087,0.5453192460200507,0.914327692157361
taskbox,0.6614920227320908,0.6351852410743917,0.7123222219129701,0.7908816237347832,0.9494622330618762,0.6536162064368858,0.9683759068012328,0.596706668810481,0.5778437318232703,0.654722713039656,0.636127106535409,0.6766692797954013,0.5288454825654167,0.5745013774268009,0.6655509553797652,0.6840813897392315,0.1948109638242428,0.608529959884668,0.5188306177211648,0.8271597618242654,0.845028299971776,0.4047652247700825,0.926708970710481,0.57336708216979,0.9346556028946313,0.9303506407777523,0.9692576737979397,0.9456140151946782,0.9257380668968113,0.9306033081841667,0.92576795737604,1.0299026922811978,0.927725539104638,0.9227807484197786,0.6180449164055595,0.5509787511038731,0.5745655251574489,0.9302949479720805,0.5115257868461058,0.5849802651402911,0.48408979317955814,0.0,0.7079109209403515,0.4714295125264196,0.7138042201190373,0.5710051282317562,0.9240773860554724
things to be done,0.4879851742681426,0.6204044676237134,0.6170601285173407,0.9344796638724784,0.9232426230394697,0.630670793872703,0.82079015149208,0.6890044092396717,0.737514740532492,0.7541618040224645,0.6505613625273197,0.658021905526093,0.5881635592203329,0.7393965028112747,0.6857071220312272,0.7150882311819284,0.824059961845486,0.5915434620952119,0.5603044741440144,0.7347861835516389,0.8328710811036859,0.7268777481785975,0.8664553466012139,0.7123762809611274,0.8813108309584113,0.8513657732423386,0.8590429151658612,0.8526825533910909,0.7914702853220669,0.9191820086445386,0.8643632135720066,0.8876656041663361,0.9290386809778124,0.7690449945160729,0.6052447091186479,0.6175948149994664,0.5274456559995644,0.8327724718978929,0.6023666707877221,0.6564523883817033,0.461491065458846,0.7079109209403515,0.0,0.5817478206048057,0.5796435367134822,0.6836065292566074,0.9511993528705426
view task,0.5024428232500588,0.4790945809350816,0.5639565731849936,0.8967773580088684,0.9412115466860173,0.49932121108866123,0.901246247323555,0.35559946948344723,0.39029767268720295,0.408351889371269,0.40852680796979435,0.5130580632159849,0.25328252541771545,0.4432222314276115,0.4323961268199288,0.48293637733054606,0.3133038996648667,0.4418908998015414,0.42487945641860025,0.755493294808124,0.7880234068716556,0.5181536161734888,0.8259707490217485,0.4528225392224614,0.9281618476643153,0.8566144375974005,0.9362937972127204,0.9381642889537636,0.8524371393068448,0.925096459011115,0.859579281636876,0.986532037070012,0.987005038911668,0.8065577587812868,0.5155463648305016,0.4721001644199657,0.4497916250318845,0.8244573611856829,0.24758372541611262,0.35169246300468116,0.36451767360914866,0.4714295125264196,0.5817478206048057,0.0,0.6472313970358937,0.4348343310553514,0.8762322510843706
what activity,0.6927066675773308,0.74451666629137,0.7351293821158955,0.9783692291943475,0.9589637632665955,0.7555103515615267,0.9277705031673988,0.8193930673996273,0.7974677911613983,0.7730288260803938,0.7802878035609289,0.73553902316435,0.7215034199250887,0.8018524395904301,0.7762374709148487,0.7611301450381462,0.8070932258221819,0.7138180477517403,0.6391606360435502,0.8617793928148554,0.9456093662263153,0.74970161887115,0.9368025335144508,0.7501367204235707,0.9685564400182617,0.9381352235268595,0.9910740490081483,0.9477349063853543,0.9290862034945013,0.9738900314727146,0.9383275066717246,0.9571307215753251,0.9235454944685346,0.950397313495197,0.6743177511197032,0.7098009469437614,0.6957144164431569,0.9322937846684237,0.7373076164506527,0.7792342481810265,0.5866503377892087,0.7138042201190373,0.5796435367134822,0.6472313970358937,0.0,0.7189647262556659,0.9234230209894694
where is pending task,0.5085858380960305,0.4485864829617623,0.45932890427904316,0.8301367111950607,0.8287813449614527,0.2422391523736247,0.8020281606507703,0.43386636387209077,0.6015014830391461,0.5522674812571807,0.5420276783768871,0.6766912167050809,0.45732551695093604,0.6634999497511817,0.31742943386886247,0.7541519632936464,0.5305567406049381,0.07421144131946367,0.1431903899224578,0.8090693523744049,0.7819626225661263,0.5304903310701421,0.7605000577879787,0.4259348368151532,0.8346349822106444,0.8994085202037146,0.8899442380902097,0.843305755617696,0.7447855837664819,0.8624701068007945,0.6921153037552974,1.0310537179402928,0.8680843075337703,0.7980151324623274,0.5055998984810095,0.14792771010324324,0.19086635821052855,0.7514974141386047,0.43007233177457604,0.2338641554348816,0.5453192460200507,0.5710051282317562,0.6836065292566074,0.4348343310553514,0.7189647262556659,0.0,0.7685013888785441
where to find resignation made by team member,0.9732649206794034,0.893215281845511,1.056315122791324,0.8184390482062545,0.7165876333762421,0.8620936083785864,0.9029727030988095,0.7988868989463117,0.9013765251077057,0.8455037906105115,0.7815916836459594,0.8130411150791245,0.8236998016262893,0.9034730517836917,0.857447381115642,0.9503197320432821,0.8658887403822911,0.7728819719512919,0.9391838934758735,0.9534479208388011,0.6976822065314736,0.914906467892174,0.5434522709306122,0.9130281489040394,0.6727864693343608,0.8448733087751632,0.9297846974282336,0.4908864613052313,0.9320602249447713,0.7866028371578437,0.8317435302329561,1.0379980501666735,0.884207886937014,0.7495241336878263,0.8854105914662868,0.9121827933719722,0.909875575100943,0.960513906911366,0.8386208028830174,0.8403475580367876,0.914327692157361,0.9240773860554724,0.9511993528705426,0.8762322510843706,0.9234230209894694,0.7685013888785441,2.220446049250313e-16
