,Is there anyone who has come late to office in my team today,am I late to office today?,has anyone clocked in late yesterday,has anyone come late today,has anyone come late tomorrow,how many of my reportees came late,how many of my reporters came late,i am late to office today,is there anyone who has come late yesterday,late comers in my team last wednesday,notify my manager why I am late,show all late clockout,team late,team late clock in yesterday,update the reason for late clockin,view late clock-in team members,which team members came late,who are the late comers in my team yesterday,who are the late comers today,who are the late comers yesterday,who came late,who came late to office today?,who clocked in late,who has come late to work today,who has come late yesterday,who in my team has come late yesterday,who is clocking in late in my team,who is late in my team last thursday,who is late in my team today
Is there anyone who has come late to office in my team today,0.0,0.27172225927679194,0.38328574264869775,0.2271604403618147,0.3024713933083397,0.4912704331121559,0.4006224169883027,0.2803082965113737,0.19834525675987624,0.38187130129712366,0.45345359500868954,0.5500123326015208,0.4874844111370076,0.46578557278234367,0.5853368500222331,0.45961394307006576,0.34030738400216387,0.3876344660378025,0.5212798006645003,0.40219257009072873,0.3187401955084431,0.21124806614776848,0.38892966509297244,0.21534543472224976,0.2597318364872684,0.210403730075441,0.4537377685342505,0.3963147598004352,0.36499076143055764
am I late to office today?,0.27172225927679194,0.0,0.456888136230133,0.3303575567790351,0.3982187214090549,0.5676237029934761,0.5114216021644957,0.1576732702445397,0.37039241918168586,0.6754294004383958,0.40568175003650775,0.6945538275311581,0.6199900173903967,0.6577555299458293,0.6228295791159488,0.7187918545160681,0.6583302512325448,0.6868937781047304,0.6431442440686737,0.54889135636471,0.47152665394489135,0.29542556371484063,0.5885780243198548,0.3299702718650205,0.4266411556935622,0.5628483872499733,0.7230511250129414,0.6859264874257711,0.6252150250667026
has anyone clocked in late yesterday,0.38328574264869775,0.456888136230133,0.0,0.2468511856490101,0.31235473584058937,0.602035941113776,0.5646688427073978,0.5301107513448075,0.24742290380211007,0.6103287060825195,0.6312196815935793,0.5333528815308598,0.5777006993547331,0.38078301903029044,0.5333423311488619,0.6113113020913659,0.6032664025386894,0.5893219031048404,0.5823253502140044,0.46850461799402576,0.484886390672177,0.41865285318996703,0.36469467405601097,0.3776612876507991,0.3768431013374016,0.47475500289056793,0.566231040021492,0.6231199257654092,0.5851213935433583
has anyone come late today,0.2271604403618147,0.3303575567790351,0.2468511856490101,1.1102230246251565e-16,0.0535505782266138,0.5419196480504489,0.4570997125896685,0.38480425531848583,0.05309681260090282,0.5586871225427731,0.5085752601494969,0.6065261407212132,0.6113672992937825,0.5766332679653292,0.6400460082279257,0.6874215833863313,0.5336247560186882,0.563013332320293,0.5018032934259393,0.38418737538190517,0.2863642200646337,0.2952460969187358,0.48090515724766625,0.20383861703071748,0.20302239939437772,0.387246472200207,0.6578482444168767,0.6355677466090335,0.5701028379160062
has anyone come late tomorrow,0.3024713933083397,0.3982187214090549,0.31235473584058937,0.0535505782266138,0.0,0.5775037528520668,0.511195624591203,0.46558864983785664,0.09384543541090484,0.5967440564665165,0.5345416339688629,0.6685487255510708,0.6422180887448614,0.6086349435003334,0.695368530179711,0.736085490823823,0.5722691786782002,0.6070234781742672,0.561877579665202,0.4320772233747022,0.3290898650673051,0.3802494099436826,0.5409504274787453,0.29740935294647697,0.2505010379782562,0.43706415865363957,0.7058799798844484,0.6478255974365488,0.6027192297274786
how many of my reportees came late,0.4912704331121559,0.5676237029934761,0.602035941113776,0.5419196480504489,0.5775037528520668,0.0,0.28149461417072863,0.5748390866565234,0.5188596987764356,0.5704849856962091,0.6150406685797891,0.649774124997686,0.6469932914183232,0.6325432610762035,0.7091822924470603,0.635215235510523,0.448411643479663,0.498031665136654,0.5717645351616383,0.48807447194680653,0.41427217002674177,0.4970892279658641,0.5199932319319704,0.49598384831733655,0.4534759840204897,0.4798707566132271,0.673732399000027,0.5258405200588847,0.5835762892012633
how many of my reporters came late,0.4006224169883027,0.5114216021644957,0.5646688427073978,0.4570997125896685,0.511195624591203,0.28149461417072863,0.0,0.5360579979861877,0.4521223328619485,0.5462256771803007,0.632851932092432,0.6271941970659192,0.579756928958554,0.5460777688814193,0.7072229553529712,0.6102503368916841,0.3853501181983312,0.49070664282295073,0.5495764350978347,0.43125801566737376,0.3553482392358317,0.3866712573076546,0.4452192795299469,0.42057964160281125,0.40029403351966764,0.43496982814607865,0.6295745781955768,0.5421656937590988,0.5560041652563535
i am late to office today,0.2803082965113737,0.1576732702445397,0.5301107513448075,0.38480425531848583,0.46558864983785664,0.5748390866565234,0.5360579979861877,0.0,0.41502948437053766,0.6624982435670296,0.354160491219089,0.6352809340050852,0.5550221758728391,0.6419825146754414,0.5432202103392826,0.6699079977473779,0.6338132534008684,0.6810517261317,0.6273776340320174,0.5443418794456887,0.4775697198858555,0.2916331754377257,0.5907939563902895,0.29161795021105896,0.40400369320958807,0.5551431799317048,0.7261695251093832,0.6692469856478327,0.6012609700885059
is there anyone who has come late yesterday,0.19834525675987624,0.37039241918168586,0.24742290380211007,0.05309681260090282,0.09384543541090484,0.5188596987764356,0.4521223328619485,0.41502948437053766,0.0,0.5154649858376351,0.49810546080603735,0.5952270001119015,0.5873126242619731,0.5449744380260324,0.6182686634469723,0.6671313715945657,0.48793585557182895,0.5172245616930052,0.5098347163320853,0.34752300538492,0.25656932204572,0.30359825325834766,0.43679628955744776,0.2346430882151611,0.16451154581153626,0.330134734861356,0.6217435856213522,0.5574452766313873,0.5310073126164903
late comers in my team last wednesday,0.38187130129712366,0.6754294004383958,0.6103287060825195,0.5586871225427731,0.5967440564665165,0.5704849856962091,0.5462256771803007,0.6624982435670296,0.5154649858376351,1.1102230246251565e-16,0.7119603635047305,0.6960446828729709,0.47907798616356956,0.3723015199672137,0.7311744552355135,0.5753823965995186,0.3041960120792391,0.18110395609089613,0.4977290736324693,0.3515796688523821,0.4064434624286579,0.5191841760595723,0.4097154518513546,0.5084878955352546,0.4276385752099816,0.2477475410196035,0.40944474800222064,0.23492307772569065,0.3107294550152139
notify my manager why I am late,0.45345359500868954,0.40568175003650775,0.6312196815935793,0.5085752601494969,0.5345416339688629,0.6150406685797891,0.632851932092432,0.354160491219089,0.49810546080603735,0.7119603635047305,0.0,0.6174015611097813,0.6237937770063571,0.6866848670111917,0.5576254004539736,0.6751891474929828,0.6501600216336301,0.710818325266235,0.7204446373434241,0.628688507187209,0.47756592104757456,0.5283866325540739,0.6103794696378685,0.4079985466022702,0.4509194350463358,0.5482434679314937,0.7033715549595903,0.6294630426079186,0.6124349938583615
show all late clockout,0.5500123326015208,0.6945538275311581,0.5333528815308598,0.6065261407212132,0.6685487255510708,0.649774124997686,0.6271941970659192,0.6352809340050852,0.5952270001119015,0.6960446828729709,0.6174015611097813,0.0,0.5913610550907107,0.48616463725368564,0.42756616335746633,0.3977212564787136,0.5895346377006622,0.5870880970823139,0.6359628084794726,0.5933255177406938,0.5653244918801543,0.6492369837774741,0.46432688198730077,0.5889865015202392,0.5518292488583174,0.5476680331594443,0.5365557912822101,0.6367114963959223,0.6032000060925502
team late,0.4874844111370076,0.6199900173903967,0.5777006993547331,0.6113672992937825,0.6422180887448614,0.6469932914183232,0.579756928958554,0.5550221758728391,0.5873126242619731,0.47907798616356956,0.6237937770063571,0.5913610550907107,0.0,0.3122921186531791,0.6178961033730084,0.5301584470974685,0.35781697739975094,0.3999700890203577,0.5148971612130446,0.46940913490173386,0.46947443580076087,0.6314424959217739,0.40719393097773304,0.6124740528587812,0.532338223527208,0.4019442695797204,0.42487187306563157,0.4215960548465104,0.3449777591296326
team late clock in yesterday,0.46578557278234367,0.6577555299458293,0.38078301903029044,0.5766332679653292,0.6086349435003334,0.6325432610762035,0.5460777688814193,0.6419825146754414,0.5449744380260324,0.3723015199672137,0.6866848670111917,0.48616463725368564,0.3122921186531791,0.0,0.49663523526517017,0.4016558611127693,0.31420430449755876,0.3503798917617882,0.5902954462658784,0.41450665662550923,0.4793553605148476,0.5615098772065279,0.23496611027499947,0.5787446038665842,0.4611883987898926,0.308581179334694,0.34717805151599057,0.36145842874863776,0.3931257455197791
update the reason for late clockin,0.5853368500222331,0.6228295791159488,0.5333423311488619,0.6400460082279257,0.695368530179711,0.7091822924470603,0.7072229553529712,0.5432202103392826,0.6182686634469723,0.7311744552355135,0.5576254004539736,0.42756616335746633,0.6178961033730084,0.49663523526517017,0.0,0.6120270159825614,0.6556626933095542,0.7151164986988578,0.7248176926257441,0.6509967326638368,0.6067400728574316,0.67985108315508,0.4823047975751653,0.6446434591679293,0.5882966125487548,0.6171319534141527,0.5571942528121318,0.6602882263846225,0.656602686573372
view late clock-in team members,0.45961394307006576,0.7187918545160681,0.6113113020913659,0.6874215833863313,0.736085490823823,0.635215235510523,0.6102503368916841,0.6699079977473779,0.6671313715945657,0.5753823965995186,0.6751891474929828,0.3977212564787136,0.5301584470974685,0.4016558611127693,0.6120270159825614,1.1102230246251565e-16,0.38432298112810026,0.45976230663554374,0.6296588195400217,0.5755300156798839,0.5904522513332426,0.5836365675476697,0.45439410029310534,0.5825606502366809,0.560183369154319,0.41058607759606813,0.411518949659894,0.4350333771565744,0.43926882236554654
which team members came late,0.34030738400216387,0.6583302512325448,0.6032664025386894,0.5336247560186882,0.5722691786782002,0.448411643479663,0.3853501181983312,0.6338132534008684,0.48793585557182895,0.3041960120792391,0.6501600216336301,0.5895346377006622,0.35781697739975094,0.31420430449755876,0.6556626933095542,0.38432298112810026,1.1102230246251565e-16,0.19003856628753335,0.38534914027874156,0.2948364567246612,0.2494664512311916,0.40931821297967685,0.23425479653523196,0.43272999020887637,0.3451976943316398,0.17826814470435626,0.3187828854708128,0.22285987105316718,0.248224904740587
who are the late comers in my team yesterday,0.3876344660378025,0.6868937781047304,0.5893219031048404,0.563013332320293,0.6070234781742672,0.498031665136654,0.49070664282295073,0.6810517261317,0.5172245616930052,0.18110395609089613,0.710818325266235,0.5870880970823139,0.3999700890203577,0.3503798917617882,0.7151164986988578,0.45976230663554374,0.19003856628753335,0.0,0.35567184462704504,0.23909057777503762,0.3649368162960519,0.5020709869734196,0.30045492033048493,0.488319330605657,0.38193537977498326,0.1418793463374569,0.2522725392517695,0.14978572269116353,0.11443048105718956
who are the late comers today,0.5212798006645003,0.6431442440686737,0.5823253502140044,0.5018032934259393,0.561877579665202,0.5717645351616383,0.5495764350978347,0.6273776340320174,0.5098347163320853,0.4977290736324693,0.7204446373434241,0.6359628084794726,0.5148971612130446,0.5902954462658784,0.7248176926257441,0.6296588195400217,0.38534914027874156,0.35567184462704504,0.0,0.15445380863009794,0.3499981136632053,0.48218248585999335,0.4414021835802594,0.4080104942920798,0.376556788726931,0.4765205413435013,0.5711321007564474,0.5474517503939186,0.460099804677513
who are the late comers yesterday,0.40219257009072873,0.54889135636471,0.46850461799402576,0.38418737538190517,0.4320772233747022,0.48807447194680653,0.43125801566737376,0.5443418794456887,0.34752300538492,0.3515796688523821,0.628688507187209,0.5933255177406938,0.46940913490173386,0.41450665662550923,0.6509967326638368,0.5755300156798839,0.2948364567246612,0.23909057777503762,0.15445380863009794,0.0,0.2212891539884141,0.36499716114970837,0.3242368243849446,0.3092355981722472,0.17278724307123572,0.299542772591055,0.512642666966401,0.38758658298792137,0.37971619072151297
who came late,0.3187401955084431,0.47152665394489135,0.484886390672177,0.2863642200646337,0.3290898650673051,0.41427217002674177,0.3553482392358317,0.4775697198858555,0.25656932204572,0.4064434624286579,0.47756592104757456,0.5653244918801543,0.46947443580076087,0.4793553605148476,0.6067400728574316,0.5904522513332426,0.2494664512311916,0.3649368162960519,0.3499981136632053,0.2212891539884141,2.220446049250313e-16,0.2739584389249794,0.22691105960185687,0.2376993429913833,0.12489561512982439,0.27251806995142536,0.47434198102776737,0.40182454670474554,0.41648795242969217
who came late to office today?,0.21124806614776848,0.29542556371484063,0.41865285318996703,0.2952460969187358,0.3802494099436826,0.4970892279658641,0.3866712573076546,0.2916331754377257,0.30359825325834766,0.5191841760595723,0.5283866325540739,0.6492369837774741,0.6314424959217739,0.5615098772065279,0.67985108315508,0.5836365675476697,0.40931821297967685,0.5020709869734196,0.48218248585999335,0.36499716114970837,0.2739584389249794,0.0,0.36489951827024225,0.14476010125929017,0.24316378844399766,0.35904534078833894,0.5871400853228302,0.5335645424494639,0.504620717760162
who clocked in late,0.38892966509297244,0.5885780243198548,0.36469467405601097,0.48090515724766625,0.5409504274787453,0.5199932319319704,0.4452192795299469,0.5907939563902895,0.43679628955744776,0.4097154518513546,0.6103794696378685,0.46432688198730077,0.40719393097773304,0.23496611027499947,0.4823047975751653,0.45439410029310534,0.23425479653523196,0.30045492033048493,0.4414021835802594,0.3242368243849446,0.22691105960185687,0.36489951827024225,0.0,0.3699137979332898,0.30210632687308847,0.23463804322967563,0.20827260868977004,0.3098864362353134,0.310241051162801
who has come late to work today,0.21534543472224976,0.3299702718650205,0.3776612876507991,0.20383861703071748,0.29740935294647697,0.49598384831733655,0.42057964160281125,0.29161795021105896,0.2346430882151611,0.5084878955352546,0.4079985466022702,0.5889865015202392,0.6124740528587812,0.5787446038665842,0.6446434591679293,0.5825606502366809,0.43272999020887637,0.488319330605657,0.4080104942920798,0.3092355981722472,0.2376993429913833,0.14476010125929017,0.3699137979332898,0.0,0.15090389615954458,0.32681062137765926,0.5641725147985142,0.49456925621959535,0.4673406426098001
who has come late yesterday,0.2597318364872684,0.4266411556935622,0.3768431013374016,0.20302239939437772,0.2505010379782562,0.4534759840204897,0.40029403351966764,0.40400369320958807,0.16451154581153626,0.4276385752099816,0.4509194350463358,0.5518292488583174,0.532338223527208,0.4611883987898926,0.5882966125487548,0.560183369154319,0.3451976943316398,0.38193537977498326,0.376556788726931,0.17278724307123572,0.12489561512982439,0.24316378844399766,0.30210632687308847,0.15090389615954458,1.1102230246251565e-16,0.21285245319138613,0.5048526365147772,0.37529797301307055,0.39949173498061163
who in my team has come late yesterday,0.210403730075441,0.5628483872499733,0.47475500289056793,0.387246472200207,0.43706415865363957,0.4798707566132271,0.43496982814607865,0.5551431799317048,0.330134734861356,0.2477475410196035,0.5482434679314937,0.5476680331594443,0.4019442695797204,0.308581179334694,0.6171319534141527,0.41058607759606813,0.17826814470435626,0.1418793463374569,0.4765205413435013,0.299542772591055,0.27251806995142536,0.35904534078833894,0.23463804322967563,0.32681062137765926,0.21285245319138613,0.0,0.23179588857904898,0.13848617327788015,0.13953248096367477
who is clocking in late in my team,0.4537377685342505,0.7230511250129414,0.566231040021492,0.6578482444168767,0.7058799798844484,0.673732399000027,0.6295745781955768,0.7261695251093832,0.6217435856213522,0.40944474800222064,0.7033715549595903,0.5365557912822101,0.42487187306563157,0.34717805151599057,0.5571942528121318,0.411518949659894,0.3187828854708128,0.2522725392517695,0.5711321007564474,0.512642666966401,0.47434198102776737,0.5871400853228302,0.20827260868977004,0.5641725147985142,0.5048526365147772,0.23179588857904898,0.0,0.23473342925460827,0.15912298764674848
who is late in my team last thursday,0.3963147598004352,0.6859264874257711,0.6231199257654092,0.6355677466090335,0.6478255974365488,0.5258405200588847,0.5421656937590988,0.6692469856478327,0.5574452766313873,0.23492307772569065,0.6294630426079186,0.6367114963959223,0.4215960548465104,0.36145842874863776,0.6602882263846225,0.4350333771565744,0.22285987105316718,0.14978572269116353,0.5474517503939186,0.38758658298792137,0.40182454670474554,0.5335645424494639,0.3098864362353134,0.49456925621959535,0.37529797301307055,0.13848617327788015,0.23473342925460827,0.0,0.11017611758054546
who is late in my team today,0.36499076143055764,0.6252150250667026,0.5851213935433583,0.5701028379160062,0.6027192297274786,0.5835762892012633,0.5560041652563535,0.6012609700885059,0.5310073126164903,0.3107294550152139,0.6124349938583615,0.6032000060925502,0.3449777591296326,0.3931257455197791,0.656602686573372,0.43926882236554654,0.248224904740587,0.11443048105718956,0.460099804677513,0.37971619072151297,0.41648795242969217,0.504620717760162,0.310241051162801,0.4673406426098001,0.39949173498061163,0.13953248096367477,0.15912298764674848,0.11017611758054546,0.0
