,Add comments in my Journal,Add comments to Vineet's Journal,Can I add comments to Ashok's journal?,Can I add comments to my journal?,Can I update Ashok's journal?,Can I update my journal?,Can I view Ashok's journal?,Can I view my journal?,I want to add an entry to the journal,I want to see my Journal,I want to update Girish's Journal,I want to update my Journal,See my Journal,Update Chaitanya's journal,Update Journal for Uday,Update Sambit's Journal,Update my Journal,Update my performance achievement in the journal,View Arka's Journal,View Chirag's journal updates,View Journal for Self,View Journal for Vinodh,View My Journal,View journal updates,add entry in the journal,add entry to ashok's journal,add journal entry,add update to ashok  journal,add update to john's performance journal,edit journal,i want to add comments to kishore's journal,i want to add comments to my  journal,i want to see kishore's journal,i want to see my journal,i want to update kishore's journal,i want to update my  journal,journal,please add comments to Arya's journal,please add comments to my journal,please show Arya's journal,please show my journal,please update Arya's journal,please update my journal,update my journal,view journal,view journal for Rohit,view journal of ramya
Add comments in my Journal,0.0,0.26508578753967615,0.26616118977136793,0.09290909130963854,0.5295232039184592,0.4063961470249512,0.561198819409312,0.4398833991780664,0.27999802605764756,0.46142528590684984,0.5597354877961688,0.36235254385885407,0.3816764398808521,0.5416277384138959,0.5440974079951941,0.5416296166060818,0.3122053965803986,0.579967520888514,0.6083050841707935,0.5913821803715258,0.46691821231366204,0.53636497713953,0.3423716889126204,0.4686180572171278,0.27653416711523704,0.3842181851072176,0.2560186809891709,0.4283503642052837,0.4958522834572032,0.37398985259717266,0.2914205042990048,0.06846010552005932,0.6206581219633591,0.46142528590684984,0.543647389379076,0.36235254385885407,0.49985732299519336,0.3655734610449729,0.18760400104381014,0.5836243200962452,0.37489541655563596,0.5670978824922572,0.3659680437838857,0.3122053965803986,0.4109274978617067,0.5452929380024457,0.5730936148110006
Add comments to Vineet's Journal,0.26508578753967615,1.1102230246251565e-16,0.3252577469034179,0.312145087782846,0.5493953557421847,0.5709482476046916,0.5495121729947938,0.5913101070588274,0.4221198064808941,0.6239865825041379,0.5220008862743849,0.540168655731676,0.5367563109637614,0.5532518660152576,0.5759291958581639,0.5880775083452991,0.5119917082809674,0.6715355269982483,0.5256854905712791,0.5944867368489909,0.5812318592673313,0.46023360684336745,0.5338586949659307,0.5706493675672051,0.43562756029332284,0.46092280412458597,0.4315540176463474,0.5081782146868519,0.5090768095211593,0.4903370160269884,0.29791835244884335,0.29414356197484026,0.5557206057325206,0.6239865825041379,0.506238093949677,0.540168655731676,0.5721514063639063,0.4023519155497518,0.3578134901032314,0.5970174720806871,0.5278811640932135,0.5697819898860733,0.5074864420792006,0.5119917082809674,0.4860354139495605,0.5413293579549826,0.5902727323650396
Can I add comments to Ashok's journal?,0.26616118977136793,0.3252577469034179,0.0,0.20242538860147152,0.22521783031912146,0.4612910187171746,0.2589032584308488,0.5343090004863915,0.43915904658510907,0.6350567101044207,0.5712352611404166,0.5192884077245505,0.545649002359379,0.4681320081600484,0.6342785332091481,0.5884463698678393,0.5145291039955096,0.6648306068701638,0.5956051806544584,0.5864340071686408,0.612287512960733,0.5687203478052199,0.544284025753168,0.6112003635278129,0.4584443947105157,0.2506671983957156,0.46533608376140423,0.34201778849508235,0.5143861848486989,0.4935600088229376,0.28733026726914035,0.2882276670918431,0.5445894253203736,0.6350567101044207,0.5032400064669518,0.5192884077245505,0.6334693260895122,0.4169016416561693,0.35466967801262095,0.630493508026791,0.5490345125729978,0.5987059190223424,0.5292015627593247,0.5145291039955096,0.5709976062752455,0.5329885097667761,0.5130939413617439
Can I add comments to my journal?,0.09290909130963854,0.312145087782846,0.20242538860147152,0.0,0.4886112001596564,0.32331099394222385,0.5316849736331623,0.3786776792588794,0.3440225360931459,0.4964897757374994,0.6026657154417308,0.41904238074516054,0.44852873918635217,0.6109737128833742,0.599391840579851,0.5768880408326651,0.38744082868413954,0.638947351495758,0.6499121421790215,0.6404440546563674,0.5013633696109443,0.5749794148722992,0.3881361286074033,0.5127623377028099,0.3567503902917665,0.43255760735166315,0.3087051072786887,0.4975046183260601,0.562686984211324,0.4190346028711046,0.34045075092303256,0.11655076838587519,0.6647234826569237,0.4964897757374994,0.5989876884259392,0.41904238074516054,0.5842256618776048,0.4045315729896872,0.26667004694170604,0.6107689173279867,0.46783867333403817,0.6074181342923768,0.4538306406812036,0.38744082868413954,0.4831181665306785,0.6032722218853737,0.6177741127971723
Can I update Ashok's journal?,0.5295232039184592,0.5493953557421847,0.22521783031912146,0.4886112001596564,0.0,0.2646361194330865,0.20189130899958818,0.4937288882989509,0.5041624662508779,0.5837319319110872,0.4465439832856599,0.34914681475383247,0.5699962919535249,0.3072671685212667,0.4693569490607077,0.4625650665148636,0.3333908445964954,0.5257449523337687,0.5624432288382817,0.48699429796127547,0.5395966710776723,0.5076411787813193,0.5110696461225372,0.502596149432958,0.5048613974502687,0.21230895699221308,0.517504298537627,0.19089514886537295,0.42193469464708566,0.4282488612504105,0.5077634187715483,0.5562426764009079,0.5248156076851751,0.5837319319110872,0.3880501023377929,0.34914681475383247,0.5985188701361448,0.5420889811908056,0.5101383003574862,0.5550271671484267,0.5091253436243,0.44728450991990465,0.40453242272569134,0.3333908445964954,0.5307663217207694,0.453002690995006,0.4903012527687284
Can I update my journal?,0.4063961470249512,0.5709482476046916,0.4612910187171746,0.32331099394222385,0.2646361194330865,0.0,0.5291968849734803,0.314844292363593,0.41993418959077733,0.4392844801068668,0.45191594922023004,0.18356023237057317,0.4850521078650557,0.43537599859352816,0.39127859004016774,0.4058943736097018,0.116180682806023,0.44324890486505397,0.6333143500106165,0.5261302323136052,0.42841630764056815,0.5420968398860677,0.3482958837297402,0.3675768723324814,0.4279103573909381,0.46537976317862617,0.40979298597777847,0.33887334362383625,0.42486547754061843,0.30112459931695545,0.581585642597354,0.44533869239122237,0.6866451036109988,0.4392844801068668,0.4743800912247971,0.18356023237057317,0.570998454618565,0.5775856391439883,0.4311472257681449,0.6036010285815337,0.4497502515709312,0.4648467155437853,0.2637266548646632,0.116180682806023,0.45232965149351656,0.5622005783695698,0.637011923056958
Can I view Ashok's journal?,0.561198819409312,0.5495121729947938,0.2589032584308488,0.5316849736331623,0.20189130899958818,0.5291968849734803,0.0,0.3427592262960626,0.5252294758851626,0.40112303493079693,0.5013589694313534,0.4708826903600195,0.47559402368967596,0.4093708724092866,0.6569917606510122,0.6108320115054333,0.5363725791683258,0.7064564914253088,0.42672747839539993,0.43955423300990015,0.4069823986151506,0.38919212395308156,0.35975548536620494,0.49196473566713284,0.5690730495508434,0.26206748266122293,0.5708314843548887,0.36686021423822535,0.567366476101242,0.5377027456260824,0.46184378970235995,0.5340189271318414,0.3239682846447506,0.40112303493079693,0.403136648897058,0.4708826903600195,0.5044386391435136,0.5726957944094966,0.5377599222521778,0.5042482703233522,0.41131618980108386,0.5566654229543713,0.5570568511436248,0.5363725791683258,0.38111138733238825,0.32814918158984263,0.34146738903750073
Can I view my journal?,0.4398833991780664,0.5913101070588274,0.5343090004863915,0.3786776792588794,0.4937288882989509,0.314844292363593,0.3427592262960626,2.220446049250313e-16,0.4656756441955989,0.1048542048004042,0.5278754899375517,0.3525143767372495,0.3501666621059437,0.5833923765736042,0.604641725384075,0.5736518837188782,0.36324873689643344,0.6662515926341113,0.5088396405773926,0.49029224574822194,0.19636387053758497,0.40203007422810555,0.09413988092951475,0.3389426952648398,0.5015202250127673,0.5170650776836979,0.46836781174015096,0.5676569815863725,0.6086343626899834,0.43353898258549983,0.5767608885581245,0.43164009452078234,0.5009343758430909,0.1048542048004042,0.5302798739604709,0.3525143767372495,0.5180560717873427,0.6402882274352522,0.5100362134644255,0.5046434097291517,0.26515853602696293,0.6066587463338502,0.4612462009027719,0.36324873689643344,0.24875921935017842,0.3997523093272133,0.5101882424339745
I want to add an entry to the journal,0.27999802605764756,0.4221198064808941,0.43915904658510907,0.3440225360931459,0.5041624662508779,0.41993418959077733,0.5252294758851626,0.4656756441955989,0.0,0.41689368393752435,0.4698512683030269,0.24979888665458116,0.4674023387281311,0.5246563739762086,0.5159204605051184,0.5082908568577271,0.2951618553079881,0.47310712888472317,0.5342408603541513,0.5781881754150501,0.49854505939654525,0.5139888752623385,0.3897871550066395,0.49011712907207416,0.05773612527318428,0.22505882063693083,0.13734440214425625,0.333484205887735,0.4610826512309467,0.30228126540921707,0.32694950701097425,0.21881806887452349,0.5352005078975228,0.41689368393752435,0.4209600551468088,0.24979888665458116,0.40317901911287257,0.4942641106194293,0.3628307755928054,0.5893464289750183,0.41247195102784295,0.567619940705018,0.3897561007124789,0.2951618553079881,0.3912621100030462,0.523660287439416,0.5537767104538099
I want to see my Journal,0.46142528590684984,0.6239865825041379,0.6350567101044207,0.4964897757374994,0.5837319319110872,0.4392844801068668,0.40112303493079693,0.1048542048004042,0.41689368393752435,0.0,0.47342368395532086,0.28521493748430427,0.3651991449794,0.5798116178662713,0.6044095152598966,0.5748136531125747,0.3555961827132893,0.674439044352958,0.4960260260053918,0.491846120827957,0.2184513972755131,0.41554702785334996,0.10810148372706141,0.35475433188070815,0.4959683530487581,0.5268575872358929,0.4842642999174577,0.5523169217502988,0.6239340545860497,0.44226065993311203,0.5552162882930527,0.3995873290397127,0.44046770838501303,0.0,0.47375789110217115,0.28521493748430427,0.4914463705455894,0.6543939065825914,0.5567400386975758,0.5055403254403987,0.2613323832035205,0.6120395997464904,0.4855652018951315,0.3555961827132893,0.25214851113159586,0.39727601298585224,0.5159465909546082
I want to update Girish's Journal,0.5597354877961688,0.5220008862743849,0.5712352611404166,0.6026657154417308,0.4465439832856599,0.45191594922023004,0.5013589694313534,0.5278754899375517,0.4698512683030269,0.47342368395532086,0.0,0.33834491510591436,0.587346942443503,0.42287137114814743,0.5451899437921286,0.469562933794735,0.38445674602070434,0.602052835339163,0.5131032083721049,0.47585381568762586,0.5095911153958077,0.5095049868484759,0.4854702543530869,0.48049494530853787,0.5275951244030468,0.5122867272143357,0.575742248779115,0.44075945870273103,0.44046628603732807,0.46308444280973293,0.4307356415754876,0.5242246274183451,0.420218379295758,0.47342368395532086,0.2871388425272948,0.33834491510591436,0.5283804856887768,0.5853031322729452,0.5553866988221849,0.5822013219365317,0.5137429870924488,0.5179496377808512,0.4765970592633241,0.38445674602070434,0.46757973945737197,0.478094220925825,0.5181960565221087
I want to update my Journal,0.36235254385885407,0.540168655731676,0.5192884077245505,0.41904238074516054,0.34914681475383247,0.18356023237057317,0.4708826903600195,0.3525143767372495,0.24979888665458116,0.28521493748430427,0.33834491510591436,0.0,0.4370870178072821,0.37055102120810746,0.3814785774613966,0.39394486319957545,0.08325100122233464,0.4451024388824154,0.53695772184828,0.4782186240734617,0.38619388032888424,0.45776156508151256,0.28430338023813084,0.3306053254046055,0.31911789307273697,0.37918313078403065,0.3312852893857974,0.2444403603554186,0.42478775011145253,0.23151634753766837,0.4493373933161623,0.29635509794264725,0.5039007587829081,0.28521493748430427,0.30320592570677796,0.0,0.4156106674395864,0.5618530348655264,0.42778536286736235,0.5813620023176405,0.36498487691108605,0.47387907787814976,0.2640420979496225,0.08325100122233464,0.3418040397155173,0.46647318580045105,0.5198063308236297
See my Journal,0.3816764398808521,0.5367563109637614,0.545649002359379,0.44852873918635217,0.5699962919535249,0.4850521078650557,0.47559402368967596,0.3501666621059437,0.4674023387281311,0.3651991449794,0.587346942443503,0.4370870178072821,0.0,0.594123743156656,0.6318090411798309,0.6239196639107983,0.37896778891119154,0.6108848548104706,0.5287652105130214,0.5619135492028657,0.3790868535260201,0.46706892128609334,0.23518611891536112,0.45549814886568274,0.4831002989188774,0.5206465545337835,0.4462900922788531,0.5913176846028807,0.5851640365114675,0.47142752537463617,0.553985314131841,0.45541016150679536,0.5371952896229504,0.3651991449794,0.580710179803771,0.4370870178072821,0.36193222160045624,0.5275930204355945,0.35688905844537555,0.4747405804129311,0.1614961034905803,0.538176493093114,0.3399904036415722,0.37896778891119154,0.30778285284903506,0.42503462518688684,0.5062543849322145
Update Chaitanya's journal,0.5416277384138959,0.5532518660152576,0.4681320081600484,0.6109737128833742,0.3072671685212667,0.43537599859352816,0.4093708724092866,0.5833923765736042,0.5246563739762086,0.5798116178662713,0.42287137114814743,0.37055102120810746,0.594123743156656,0.0,0.47127167900677125,0.4736616003926789,0.36495674799833433,0.5609626987975181,0.5425363088621018,0.3719657989297742,0.5845855048183118,0.5179805412315752,0.5400105593535602,0.5279150398857855,0.5457420206611874,0.4284060131732391,0.5895972625152488,0.3234866423999284,0.46023196130235566,0.4772049902411728,0.4772574144991939,0.5560534060481012,0.4824602302069563,0.5798116178662713,0.3628808329424116,0.37055102120810746,0.5532267117951604,0.5378483353043912,0.501840907440332,0.5550256987425743,0.5060778372207186,0.4507869473573619,0.40184483578686714,0.36495674799833433,0.5336124139001759,0.4920949273277432,0.42201507232572566
Update Journal for Uday,0.5440974079951941,0.5759291958581639,0.6342785332091481,0.599391840579851,0.4693569490607077,0.39127859004016774,0.6569917606510122,0.604641725384075,0.5159204605051184,0.6044095152598966,0.5451899437921286,0.3814785774613966,0.6318090411798309,0.47127167900677125,0.0,0.4126588287194246,0.3267695989535023,0.5798864756323208,0.5999243937411156,0.5512276460473572,0.5774444633629952,0.5099145079091333,0.5578611789178405,0.4383455202932094,0.4984101633304593,0.5340693243296547,0.5185899311300249,0.3525835658593496,0.4575716444858764,0.477213567108401,0.60307093111106,0.5707348310831173,0.6741083050005565,0.6044095152598966,0.49854035461619084,0.3814785774613966,0.5908200299138123,0.6333886803985417,0.5675206540630529,0.6565868359874483,0.5805766975627935,0.5495575237873079,0.4416263816732833,0.3267695989535023,0.5268813271007458,0.5992113729117546,0.5820480322889905
Update Sambit's Journal,0.5416296166060818,0.5880775083452991,0.5884463698678393,0.5768880408326651,0.4625650665148636,0.4058943736097018,0.6108320115054333,0.5736518837188782,0.5082908568577271,0.5748136531125747,0.469562933794735,0.39394486319957545,0.6239196639107983,0.4736616003926789,0.4126588287194246,0.0,0.36445792087369755,0.5617596613313104,0.6203999597354195,0.4717847697106081,0.5740260679535929,0.5450868736256427,0.5379054818584833,0.4561046374627098,0.5200678509754466,0.5338933078076777,0.5284455374318948,0.3923259860635808,0.44341691399352834,0.45524647726277645,0.5732528888778101,0.5489421216471884,0.6495656546801956,0.5748136531125747,0.4959047924098996,0.39394486319957545,0.619109469362446,0.6098594681027225,0.5395222151770006,0.6460977972587643,0.5796573968173875,0.541921694143326,0.4473259078261662,0.36445792087369755,0.5175179500125431,0.5721954775224386,0.5731658355687679
Update my Journal,0.3122053965803986,0.5119917082809674,0.5145291039955096,0.38744082868413954,0.3333908445964954,0.116180682806023,0.5363725791683258,0.36324873689643344,0.2951618553079881,0.3555961827132893,0.38445674602070434,0.08325100122233464,0.37896778891119154,0.36495674799833433,0.3267695989535023,0.36445792087369755,0.0,0.3813391920132707,0.5427966650433576,0.4754645083475887,0.3615943250675606,0.45892712124474233,0.2536924665567052,0.29406908556106415,0.30138319841798744,0.387100730814675,0.29904597719290305,0.25027001329501575,0.3569121743337571,0.2271504442505784,0.4978296734700439,0.3468618996177195,0.6018516360107072,0.3555961827132893,0.38387631152499035,0.08325100122233464,0.4084870189020706,0.5204846740868473,0.34859255191493355,0.5570201467972342,0.3272962084472435,0.4240692037578335,0.16158914166063887,0.0,0.3288541288842104,0.4720016341503397,0.5639813924436082
Update my performance achievement in the journal,0.579967520888514,0.6715355269982483,0.6648306068701638,0.638947351495758,0.5257449523337687,0.44324890486505397,0.7064564914253088,0.6662515926341113,0.47310712888472317,0.674439044352958,0.602052835339163,0.4451024388824154,0.6108848548104706,0.5609626987975181,0.5798864756323208,0.5617596613313104,0.3813391920132707,0.0,0.6739592803962167,0.6592010065360987,0.6565174306452519,0.7029173415123664,0.5932070734154913,0.5996916246955653,0.45804639218233045,0.5300888610828859,0.47656027041446214,0.4679282722726241,0.3579630113199396,0.505082516171558,0.6295704082265505,0.6200813214430136,0.7231279997339609,0.674439044352958,0.5688834137101881,0.4451024388824154,0.5980354683876259,0.65442129201265,0.533833231181383,0.7104436580519449,0.5653609899416212,0.5860882393532796,0.41690056137914655,0.3813391920132707,0.5992930807098525,0.6470196793886269,0.6880520888580929
View Arka's Journal,0.6083050841707935,0.5256854905712791,0.5956051806544584,0.6499121421790215,0.5624432288382817,0.6333143500106165,0.42672747839539993,0.5088396405773926,0.5342408603541513,0.4960260260053918,0.5131032083721049,0.53695772184828,0.5287652105130214,0.5425363088621018,0.5999243937411156,0.6203999597354195,0.5427966650433576,0.6739592803962167,0.0,0.4821570095685005,0.4983397559360482,0.42041232686795516,0.4415982338858746,0.4488162724459517,0.5813207655239421,0.5498673117966836,0.5751691352750135,0.5111511257584396,0.5405873940051993,0.5442331368225167,0.5236860374803867,0.6015989284376315,0.438379855863419,0.4960260260053918,0.46929563602935054,0.53695772184828,0.4341583910493545,0.6129486584162487,0.5625601040130705,0.5761741255909665,0.477023742233463,0.5862362668613934,0.5518922139279729,0.5427966650433576,0.35756595527850754,0.447068950607997,0.49395791661142296
View Chirag's journal updates,0.5913821803715258,0.5944867368489909,0.5864340071686408,0.6404440546563674,0.48699429796127547,0.5261302323136052,0.43955423300990015,0.49029224574822194,0.5781881754150501,0.491846120827957,0.47585381568762586,0.4782186240734617,0.5619135492028657,0.3719657989297742,0.5512276460473572,0.4717847697106081,0.4754645083475887,0.6592010065360987,0.4821570095685005,0.0,0.461466973037308,0.4592129102807474,0.4353705116055383,0.2867320764886415,0.5972523004515642,0.5453806671887107,0.595429209844996,0.4321762570910398,0.4334179621953852,0.5756572706094185,0.5818477424982729,0.6227042460595764,0.517021593837506,0.491846120827957,0.48104806312922355,0.4782186240734617,0.588095006918939,0.6173728226598043,0.5879143489052367,0.5841630272277255,0.5370739000643208,0.5235958207044165,0.5089884548333978,0.4754645083475887,0.37754178847112296,0.3896747528204516,0.48871528065775083
View Journal for Self,0.46691821231366204,0.5812318592673313,0.612287512960733,0.5013633696109443,0.5395966710776723,0.42841630764056815,0.4069823986151506,0.19636387053758497,0.49854505939654525,0.2184513972755131,0.5095911153958077,0.38619388032888424,0.3790868535260201,0.5845855048183118,0.5774444633629952,0.5740260679535929,0.3615943250675606,0.6565174306452519,0.4983397559360482,0.461466973037308,0.0,0.3131758072444156,0.11214146778526435,0.27088486982072224,0.4966798968156432,0.5017235442477666,0.45182469525890623,0.536254350354679,0.5480631629934853,0.4186354314801365,0.6246502072186413,0.489743977582926,0.5222189825386232,0.2184513972755131,0.5367880087093508,0.38619388032888424,0.47246671972230325,0.6734710743677439,0.5453271596113143,0.5334417689547146,0.35535670109910866,0.6219119780844415,0.4974994322029863,0.3615943250675606,0.1576137088856182,0.33719451460166217,0.5083013469172666
View Journal for Vinodh,0.53636497713953,0.46023360684336745,0.5687203478052199,0.5749794148722992,0.5076411787813193,0.5420968398860677,0.38919212395308156,0.40203007422810555,0.5139888752623385,0.41554702785334996,0.5095049868484759,0.45776156508151256,0.46706892128609334,0.5179805412315752,0.5099145079091333,0.5450868736256427,0.45892712124474233,0.7029173415123664,0.42041232686795516,0.4592129102807474,0.3131758072444156,1.1102230246251565e-16,0.3188656474519427,0.33249796889272465,0.5294292524935211,0.48269653275902413,0.49939935880828124,0.4573050386670029,0.49280308091395264,0.4900783341762802,0.5951228050387042,0.5339047502407678,0.5168315683448788,0.41554702785334996,0.5363193800204626,0.45776156508151256,0.4858070001055297,0.6229618127608897,0.5532130177609322,0.5346313075082507,0.4158813006058929,0.5848593625839874,0.5035209511293288,0.45892712124474233,0.2501980412919217,0.2648239654509633,0.4357211940620149
