,Add comments in my Journal,Add comments to Vineet's Journal,Can I add comments to Ashok's journal?,Can I add comments to my journal?,Can I update Ashok's journal?,Can I update my journal?,Can I view Ashok's journal?,Can I view my journal?,I want to add an entry to the journal,I want to see my Journal,I want to update Girish's Journal,I want to update my Journal,See my Journal,Update Chaitanya's journal,Update Journal for Uday,Update Sambit's Journal,Update my Journal,Update my performance achievement in the journal,View Arka's Journal,View Chirag's journal updates,View Journal for Self,View Journal for Vinodh,View My Journal,View journal updates,add entry in the journal,add entry to ashok's journal,add journal entry,add update to ashok  journal,add update to john's performance journal,edit journal,i want to add comments to kishore's journal,i want to add comments to my  journal,i want to see kishore's journal,i want to see my journal,i want to update kishore's journal,i want to update my  journal,journal,please add comments to Arya's journal,please add comments to my journal,please show Arya's journal,please show my journal,please update Arya's journal,please update my journal,update my journal,view journal,view journal for Rohit,view journal of ramya
View My Journal,0.3423716889126204,0.5338586949659307,0.544284025753168,0.3881361286074033,0.5110696461225372,0.3482958837297402,0.35975548536620494,0.09413988092951475,0.3897871550066395,0.10810148372706141,0.4854702543530869,0.28430338023813084,0.23518611891536112,0.5400105593535602,0.5578611789178405,0.5379054818584833,0.2536924665567052,0.5932070734154913,0.4415982338858746,0.4353705116055383,0.11214146778526435,0.3188656474519427,1.1102230246251565e-16,0.2514251189076063,0.4174495306742204,0.44992685136771227,0.36448035793208133,0.5047609404888562,0.5197160838106163,0.36193291152789686,0.5256455989397435,0.36150218044980564,0.4602208600249579,0.10810148372706141,0.4793526112179206,0.28430338023813084,0.38840773080720503,0.5781804819958279,0.418466713278163,0.47183175030362745,0.19140849950240646,0.5546666526734796,0.3600242182811958,0.2536924665567052,0.13015435843047918,0.305862945054744,0.4571878546104511
View journal updates,0.4686180572171278,0.5706493675672051,0.6112003635278129,0.5127623377028099,0.502596149432958,0.3675768723324814,0.49196473566713284,0.3389426952648398,0.49011712907207416,0.35475433188070815,0.48049494530853787,0.3306053254046055,0.45549814886568274,0.5279150398857855,0.4383455202932094,0.4561046374627098,0.29406908556106415,0.5996916246955653,0.4488162724459517,0.2867320764886415,0.27088486982072224,0.33249796889272465,0.2514251189076063,0.0,0.4853108203377148,0.550789071998102,0.4529767389204088,0.3605835443198746,0.3856082390803003,0.40756290774919957,0.5929771810379536,0.5008889188695622,0.5594224180804164,0.35475433188070815,0.47954942110449283,0.3306053254046055,0.4931305391911216,0.6317262074879678,0.520494134042091,0.5801372693843476,0.45247190855947994,0.5333325711282298,0.406070839526686,0.29406908556106415,0.18009785421166635,0.3490008929216617,0.49456337016296736
add entry in the journal,0.27653416711523704,0.43562756029332284,0.4584443947105157,0.3567503902917665,0.5048613974502687,0.4279103573909381,0.5690730495508434,0.5015202250127673,0.05773612527318428,0.4959683530487581,0.5275951244030468,0.31911789307273697,0.4831002989188774,0.5457420206611874,0.4984101633304593,0.5200678509754466,0.30138319841798744,0.45804639218233045,0.5813207655239421,0.5972523004515642,0.4966798968156432,0.5294292524935211,0.4174495306742204,0.4853108203377148,0.0,0.19585112976191388,0.08914697976150698,0.31302842630738037,0.43604433734439163,0.3338940013382914,0.40006083289543026,0.2794471111623288,0.6041143967445644,0.4959683530487581,0.475616031222163,0.31911789307273697,0.4238004098868051,0.522131188448574,0.37802418855835296,0.5780487388782996,0.44166735817965685,0.5801654302746638,0.4080717032338337,0.30138319841798744,0.39534412317138223,0.5317682908221961,0.589595855153106
add entry to ashok's journal,0.3842181851072176,0.46092280412458597,0.2506671983957156,0.43255760735166315,0.21230895699221308,0.46537976317862617,0.26206748266122293,0.5170650776836979,0.22505882063693083,0.5268575872358929,0.5122867272143357,0.37918313078403065,0.5206465545337835,0.4284060131732391,0.5340693243296547,0.5338933078076777,0.387100730814675,0.5300888610828859,0.5498673117966836,0.5453806671887107,0.5017235442477666,0.48269653275902413,0.44992685136771227,0.550789071998102,0.19585112976191388,0.0,0.24156231633377256,0.19420640525290989,0.4476145152714591,0.4247483600780554,0.4054856521510595,0.37878915287719916,0.5062117858709829,0.5268575872358929,0.42491052834454646,0.37918313078403065,0.5220207293746651,0.5033275653723965,0.4523384529321328,0.5432332670396773,0.470109794613895,0.5423638388791153,0.47915367794005725,0.387100730814675,0.4676342098112458,0.4400556349288012,0.4905989068282791
add journal entry,0.2560186809891709,0.4315540176463474,0.46533608376140423,0.3087051072786887,0.517504298537627,0.40979298597777847,0.5708314843548887,0.46836781174015096,0.13734440214425625,0.4842642999174577,0.575742248779115,0.3312852893857974,0.4462900922788531,0.5895972625152488,0.5185899311300249,0.5284455374318948,0.29904597719290305,0.47656027041446214,0.5751691352750135,0.595429209844996,0.45182469525890623,0.49939935880828124,0.36448035793208133,0.4529767389204088,0.08914697976150698,0.24156231633377256,1.1102230246251565e-16,0.35772807900556025,0.4550996004085178,0.3489589220825837,0.4495255856578044,0.2693763526971631,0.627863251652155,0.4842642999174577,0.5315937054272623,0.3312852893857974,0.39453563926668744,0.49175725841080586,0.3510018234406532,0.5494752263360678,0.42847736216709476,0.5613101165182321,0.39547895582674875,0.29904597719290305,0.351143651542403,0.5086789439676651,0.59411096109495
add update to ashok  journal,0.4283503642052837,0.5081782146868519,0.34201778849508235,0.4975046183260601,0.19089514886537295,0.33887334362383625,0.36686021423822535,0.5676569815863725,0.333484205887735,0.5523169217502988,0.44075945870273103,0.2444403603554186,0.5913176846028807,0.3234866423999284,0.3525835658593496,0.3923259860635808,0.25027001329501575,0.4679282722726241,0.5111511257584396,0.4321762570910398,0.536254350354679,0.4573050386670029,0.5047609404888562,0.3605835443198746,0.31302842630738037,0.19420640525290989,0.35772807900556025,0.0,0.30081127102449545,0.3451091061599444,0.43931972629575433,0.42437145872746707,0.554533177714789,0.5523169217502988,0.3600405391925684,0.2444403603554186,0.5153143206054156,0.5410744516109179,0.4657861833046192,0.6048972609327232,0.542405503620364,0.4868694974254898,0.3825121194376737,0.25027001329501575,0.43467828542429765,0.47553219645227274,0.519866583056949
add update to john's performance journal,0.4958522834572032,0.5090768095211593,0.5143861848486989,0.562686984211324,0.42193469464708566,0.42486547754061843,0.567366476101242,0.6086343626899834,0.4610826512309467,0.6239340545860497,0.44046628603732807,0.42478775011145253,0.5851640365114675,0.46023196130235566,0.4575716444858764,0.44341691399352834,0.3569121743337571,0.3579630113199396,0.5405873940051993,0.4334179621953852,0.5480631629934853,0.49280308091395264,0.5197160838106163,0.3856082390803003,0.43604433734439163,0.4476145152714591,0.4550996004085178,0.30081127102449545,0.0,0.45552435133177605,0.4957023761805982,0.5449767418420102,0.6149182274251038,0.6239340545860497,0.4454944530695707,0.42478775011145253,0.5482574842092546,0.6140776545903843,0.48422375974283427,0.669939934473206,0.5716558463981012,0.5660508472749153,0.41594721915944877,0.3569121743337571,0.4498984507965247,0.4670505771425324,0.6112614401612866
edit journal,0.37398985259717266,0.4903370160269884,0.4935600088229376,0.4190346028711046,0.4282488612504105,0.30112459931695545,0.5377027456260824,0.43353898258549983,0.30228126540921707,0.44226065993311203,0.46308444280973293,0.23151634753766837,0.47142752537463617,0.4772049902411728,0.477213567108401,0.45524647726277645,0.2271504442505784,0.505082516171558,0.5442331368225167,0.5756572706094185,0.4186354314801365,0.4900783341762802,0.36193291152789686,0.40756290774919957,0.3338940013382914,0.4247483600780554,0.3489589220825837,0.3451091061599444,0.45552435133177605,0.0,0.4462937988142702,0.34299582596705214,0.590715629669996,0.44226065993311203,0.4312363220597142,0.23151634753766837,0.38454630464673056,0.5497600053075088,0.44450964757953937,0.5973680004448396,0.45331522693679704,0.5400623603182331,0.3901285143301404,0.2271504442505784,0.34398172131461335,0.5347001731581646,0.5897017673248501
i want to add comments to kishore's journal,0.2914205042990048,0.29791835244884335,0.28733026726914035,0.34045075092303256,0.5077634187715483,0.581585642597354,0.46184378970235995,0.5767608885581245,0.32694950701097425,0.5552162882930527,0.4307356415754876,0.4493373933161623,0.553985314131841,0.4772574144991939,0.60307093111106,0.5732528888778101,0.4978296734700439,0.6295704082265505,0.5236860374803867,0.5818477424982729,0.6246502072186413,0.5951228050387042,0.5256455989397435,0.5929771810379536,0.40006083289543026,0.4054856521510595,0.4495255856578044,0.43931972629575433,0.4957023761805982,0.4462937988142702,0.0,0.24435673713821482,0.22554968363728933,0.5552162882930527,0.1777882789432772,0.4493373933161623,0.5587136999855448,0.43703075702430394,0.35210034858463046,0.6659119777312879,0.5128417371103582,0.6174054089992012,0.49746161692431734,0.4978296734700439,0.5068834192364531,0.511304948961251,0.5068732105894711
i want to add comments to my  journal,0.06846010552005932,0.29414356197484026,0.2882276670918431,0.11655076838587519,0.5562426764009079,0.44533869239122237,0.5340189271318414,0.43164009452078234,0.21881806887452349,0.3995873290397127,0.5242246274183451,0.29635509794264725,0.45541016150679536,0.5560534060481012,0.5707348310831173,0.5489421216471884,0.3468618996177195,0.6200813214430136,0.6015989284376315,0.6227042460595764,0.489743977582926,0.5339047502407678,0.36150218044980564,0.5008889188695622,0.2794471111623288,0.37878915287719916,0.2693763526971631,0.42437145872746707,0.5449767418420102,0.34299582596705214,0.24435673713821482,0.0,0.5703260246661568,0.3995873290397127,0.48893664764041433,0.29635509794264725,0.4951977910474399,0.40685329625736866,0.27164635450082886,0.6206729708085257,0.43109770258248836,0.6145192548448748,0.44397550613057624,0.3468618996177195,0.41899697420269244,0.5689350079984141,0.5638499979375658
i want to see kishore's journal,0.6206581219633591,0.5557206057325206,0.5445894253203736,0.6647234826569237,0.5248156076851751,0.6866451036109988,0.3239682846447506,0.5009343758430909,0.5352005078975228,0.44046770838501303,0.420218379295758,0.5039007587829081,0.5371952896229504,0.4824602302069563,0.6741083050005565,0.6495656546801956,0.6018516360107072,0.7231279997339609,0.438379855863419,0.517021593837506,0.5222189825386232,0.5168315683448788,0.4602208600249579,0.5594224180804164,0.6041143967445644,0.5062117858709829,0.627863251652155,0.554533177714789,0.6149182274251038,0.590715629669996,0.22554968363728933,0.5703260246661568,0.0,0.44046770838501303,0.11498433125381746,0.5039007587829081,0.5164971328294026,0.6439719446618299,0.6064867172525061,0.5836513995824276,0.46006299731256484,0.6319440555960012,0.6057543360065517,0.6018516360107072,0.4368544469446626,0.3766170116979186,0.39715215208853616
i want to see my journal,0.46142528590684984,0.6239865825041379,0.6350567101044207,0.4964897757374994,0.5837319319110872,0.4392844801068668,0.40112303493079693,0.1048542048004042,0.41689368393752435,0.0,0.47342368395532086,0.28521493748430427,0.3651991449794,0.5798116178662713,0.6044095152598966,0.5748136531125747,0.3555961827132893,0.674439044352958,0.4960260260053918,0.491846120827957,0.2184513972755131,0.41554702785334996,0.10810148372706141,0.35475433188070815,0.4959683530487581,0.5268575872358929,0.4842642999174577,0.5523169217502988,0.6239340545860497,0.44226065993311203,0.5552162882930527,0.3995873290397127,0.44046770838501303,0.0,0.47375789110217115,0.28521493748430427,0.4914463705455894,0.6543939065825914,0.5567400386975758,0.5055403254403987,0.2613323832035205,0.6120395997464904,0.4855652018951315,0.3555961827132893,0.25214851113159586,0.39727601298585224,0.5159465909546082
i want to update kishore's journal,0.543647389379076,0.506238093949677,0.5032400064669518,0.5989876884259392,0.3880501023377929,0.4743800912247971,0.403136648897058,0.5302798739604709,0.4209600551468088,0.47375789110217115,0.2871388425272948,0.30320592570677796,0.580710179803771,0.3628808329424116,0.49854035461619084,0.4959047924098996,0.38387631152499035,0.5688834137101881,0.46929563602935054,0.48104806312922355,0.5367880087093508,0.5363193800204626,0.4793526112179206,0.47954942110449283,0.475616031222163,0.42491052834454646,0.5315937054272623,0.3600405391925684,0.4454944530695707,0.4312363220597142,0.1777882789432772,0.48893664764041433,0.11498433125381746,0.47375789110217115,0.0,0.30320592570677796,0.5180209245538453,0.5931144023290651,0.5473445605504812,0.6082731699287361,0.48523546317849875,0.534684437767768,0.45633230461834107,0.38387631152499035,0.4531603367321072,0.4110748338931004,0.4687900126801393
i want to update my  journal,0.36235254385885407,0.540168655731676,0.5192884077245505,0.41904238074516054,0.34914681475383247,0.18356023237057317,0.4708826903600195,0.3525143767372495,0.24979888665458116,0.28521493748430427,0.33834491510591436,0.0,0.4370870178072821,0.37055102120810746,0.3814785774613966,0.39394486319957545,0.08325100122233464,0.4451024388824154,0.53695772184828,0.4782186240734617,0.38619388032888424,0.45776156508151256,0.28430338023813084,0.3306053254046055,0.31911789307273697,0.37918313078403065,0.3312852893857974,0.2444403603554186,0.42478775011145253,0.23151634753766837,0.4493373933161623,0.29635509794264725,0.5039007587829081,0.28521493748430427,0.30320592570677796,0.0,0.4156106674395864,0.5618530348655264,0.42778536286736235,0.5813620023176405,0.36498487691108605,0.47387907787814976,0.2640420979496225,0.08325100122233464,0.3418040397155173,0.46647318580045105,0.5198063308236297
journal,0.49985732299519336,0.5721514063639063,0.6334693260895122,0.5842256618776048,0.5985188701361448,0.570998454618565,0.5044386391435136,0.5180560717873427,0.40317901911287257,0.4914463705455894,0.5283804856887768,0.4156106674395864,0.36193222160045624,0.5532267117951604,0.5908200299138123,0.619109469362446,0.4084870189020706,0.5980354683876259,0.4341583910493545,0.588095006918939,0.47246671972230325,0.4858070001055297,0.38840773080720503,0.4931305391911216,0.4238004098868051,0.5220207293746651,0.39453563926668744,0.5153143206054156,0.5482574842092546,0.38454630464673056,0.5587136999855448,0.4951977910474399,0.5164971328294026,0.4914463705455894,0.5180209245538453,0.4156106674395864,2.220446049250313e-16,0.6265294318447768,0.4437408064104026,0.561840479025044,0.3848150021240594,0.5897745122750628,0.44121649373298844,0.4084870189020706,0.29237574721243675,0.4998349569149507,0.5010398096283901
please add comments to Arya's journal,0.3655734610449729,0.4023519155497518,0.4169016416561693,0.4045315729896872,0.5420889811908056,0.5775856391439883,0.5726957944094966,0.6402882274352522,0.4942641106194293,0.6543939065825914,0.5853031322729452,0.5618530348655264,0.5275930204355945,0.5378483353043912,0.6333886803985417,0.6098594681027225,0.5204846740868473,0.65442129201265,0.6129486584162487,0.6173728226598043,0.6734710743677439,0.6229618127608897,0.5781804819958279,0.6317262074879678,0.522131188448574,0.5033275653723965,0.49175725841080586,0.5410744516109179,0.6140776545903843,0.5497600053075088,0.43703075702430394,0.40685329625736866,0.6439719446618299,0.6543939065825914,0.5931144023290651,0.5618530348655264,0.6265294318447768,1.1102230246251565e-16,0.3015781941701795,0.21088279529632004,0.5016782391783006,0.12857672919718965,0.4423488552680036,0.5204846740868473,0.5909660001967417,0.6144180449355598,0.6173846644822161
please add comments to my journal,0.18760400104381014,0.3578134901032314,0.35466967801262095,0.26667004694170604,0.5101383003574862,0.4311472257681449,0.5377599222521778,0.5100362134644255,0.3628307755928054,0.5567400386975758,0.5553866988221849,0.42778536286736235,0.35688905844537555,0.501840907440332,0.5675206540630529,0.5395222151770006,0.34859255191493355,0.533833231181383,0.5625601040130705,0.5879143489052367,0.5453271596113143,0.5532130177609322,0.418466713278163,0.520494134042091,0.37802418855835296,0.4523384529321328,0.3510018234406532,0.4657861833046192,0.48422375974283427,0.44450964757953937,0.35210034858463046,0.27164635450082886,0.6064867172525061,0.5567400386975758,0.5473445605504812,0.42778536286736235,0.4437408064104026,0.3015781941701795,2.220446049250313e-16,0.5693767648073726,0.3276214915328911,0.46837737977951943,0.19112326034197868,0.34859255191493355,0.4461453904437259,0.5626092080198961,0.5475377752403288
please show Arya's journal,0.5836243200962452,0.5970174720806871,0.630493508026791,0.6107689173279867,0.5550271671484267,0.6036010285815337,0.5042482703233522,0.5046434097291517,0.5893464289750183,0.5055403254403987,0.5822013219365317,0.5813620023176405,0.4747405804129311,0.5550256987425743,0.6565868359874483,0.6460977972587643,0.5570201467972342,0.7104436580519449,0.5761741255909665,0.5841630272277255,0.5334417689547146,0.5346313075082507,0.47183175030362745,0.5801372693843476,0.5780487388782996,0.5432332670396773,0.5494752263360678,0.6048972609327232,0.669939934473206,0.5973680004448396,0.6659119777312879,0.6206729708085257,0.5836513995824276,0.5055403254403987,0.6082731699287361,0.5813620023176405,0.561840479025044,0.21088279529632004,0.5693767648073726,0.0,0.40169982354503686,0.1299979577324254,0.5644091111690793,0.5570201467972342,0.49597950553198134,0.5150085967482065,0.5840805870100212
please show my journal,0.37489541655563596,0.5278811640932135,0.5490345125729978,0.46783867333403817,0.5091253436243,0.4497502515709312,0.41131618980108386,0.26515853602696293,0.41247195102784295,0.2613323832035205,0.5137429870924488,0.36498487691108605,0.1614961034905803,0.5060778372207186,0.5805766975627935,0.5796573968173875,0.3272962084472435,0.5653609899416212,0.477023742233463,0.5370739000643208,0.35535670109910866,0.4158813006058929,0.19140849950240646,0.45247190855947994,0.44166735817965685,0.470109794613895,0.42847736216709476,0.542405503620364,0.5716558463981012,0.45331522693679704,0.5128417371103582,0.43109770258248836,0.46006299731256484,0.2613323832035205,0.48523546317849875,0.36498487691108605,0.3848150021240594,0.5016782391783006,0.3276214915328911,0.40169982354503686,0.0,0.48385992066310457,0.24822309963249278,0.3272962084472435,0.2987485507204999,0.38972489217574313,0.4549749060626157
please update Arya's journal,0.5670978824922572,0.5697819898860733,0.5987059190223424,0.6074181342923768,0.44728450991990465,0.4648467155437853,0.5566654229543713,0.6066587463338502,0.567619940705018,0.6120395997464904,0.5179496377808512,0.47387907787814976,0.538176493093114,0.4507869473573619,0.5495575237873079,0.541921694143326,0.4240692037578335,0.5860882393532796,0.5862362668613934,0.5235958207044165,0.6219119780844415,0.5848593625839874,0.5546666526734796,0.5333325711282298,0.5801654302746638,0.5423638388791153,0.5613101165182321,0.4868694974254898,0.5660508472749153,0.5400623603182331,0.6174054089992012,0.6145192548448748,0.6319440555960012,0.6120395997464904,0.534684437767768,0.47387907787814976,0.5897745122750628,0.12857672919718965,0.46837737977951943,0.1299979577324254,0.48385992066310457,1.1102230246251565e-16,0.37947681204349726,0.4240692037578335,0.5574439975696921,0.5557680166092493,0.606974797091156
please update my journal,0.3659680437838857,0.5074864420792006,0.5292015627593247,0.4538306406812036,0.40453242272569134,0.2637266548646632,0.5570568511436248,0.4612462009027719,0.3897561007124789,0.4855652018951315,0.4765970592633241,0.2640420979496225,0.3399904036415722,0.40184483578686714,0.4416263816732833,0.4473259078261662,0.16158914166063887,0.41690056137914655,0.5518922139279729,0.5089884548333978,0.4974994322029863,0.5035209511293288,0.3600242182811958,0.406070839526686,0.4080717032338337,0.47915367794005725,0.39547895582674875,0.3825121194376737,0.41594721915944877,0.3901285143301404,0.49746161692431734,0.44397550613057624,0.6057543360065517,0.4855652018951315,0.45633230461834107,0.2640420979496225,0.44121649373298844,0.4423488552680036,0.19112326034197868,0.5644091111690793,0.24822309963249278,0.37947681204349726,0.0,0.16158914166063887,0.41113864914556597,0.4972934862048368,0.5656137440606213
update my journal,0.3122053965803986,0.5119917082809674,0.5145291039955096,0.38744082868413954,0.3333908445964954,0.116180682806023,0.5363725791683258,0.36324873689643344,0.2951618553079881,0.3555961827132893,0.38445674602070434,0.08325100122233464,0.37896778891119154,0.36495674799833433,0.3267695989535023,0.36445792087369755,0.0,0.3813391920132707,0.5427966650433576,0.4754645083475887,0.3615943250675606,0.45892712124474233,0.2536924665567052,0.29406908556106415,0.30138319841798744,0.387100730814675,0.29904597719290305,0.25027001329501575,0.3569121743337571,0.2271504442505784,0.4978296734700439,0.3468618996177195,0.6018516360107072,0.3555961827132893,0.38387631152499035,0.08325100122233464,0.4084870189020706,0.5204846740868473,0.34859255191493355,0.5570201467972342,0.3272962084472435,0.4240692037578335,0.16158914166063887,0.0,0.3288541288842104,0.4720016341503397,0.5639813924436082
view journal,0.4109274978617067,0.4860354139495605,0.5709976062752455,0.4831181665306785,0.5307663217207694,0.45232965149351656,0.38111138733238825,0.24875921935017842,0.3912621100030462,0.25214851113159586,0.46757973945737197,0.3418040397155173,0.30778285284903506,0.5336124139001759,0.5268813271007458,0.5175179500125431,0.3288541288842104,0.5992930807098525,0.35756595527850754,0.37754178847112296,0.1576137088856182,0.2501980412919217,0.13015435843047918,0.18009785421166635,0.39534412317138223,0.4676342098112458,0.351143651542403,0.43467828542429765,0.4498984507965247,0.34398172131461335,0.5068834192364531,0.41899697420269244,0.4368544469446626,0.25214851113159586,0.4531603367321072,0.3418040397155173,0.29237574721243675,0.5909660001967417,0.4461453904437259,0.49597950553198134,0.2987485507204999,0.5574439975696921,0.41113864914556597,0.3288541288842104,0.0,0.2540451183780458,0.3990705534111991
view journal for Rohit,0.5452929380024457,0.5413293579549826,0.5329885097667761,0.6032722218853737,0.453002690995006,0.5622005783695698,0.32814918158984263,0.3997523093272133,0.523660287439416,0.39727601298585224,0.478094220925825,0.46647318580045105,0.42503462518688684,0.4920949273277432,0.5992113729117546,0.5721954775224386,0.4720016341503397,0.6470196793886269,0.447068950607997,0.3896747528204516,0.33719451460166217,0.2648239654509633,0.305862945054744,0.3490008929216617,0.5317682908221961,0.4400556349288012,0.5086789439676651,0.47553219645227274,0.4670505771425324,0.5347001731581646,0.511304948961251,0.5689350079984141,0.3766170116979186,0.39727601298585224,0.4110748338931004,0.46647318580045105,0.4998349569149507,0.6144180449355598,0.5626092080198961,0.5150085967482065,0.38972489217574313,0.5557680166092493,0.4972934862048368,0.4720016341503397,0.2540451183780458,0.0,0.33564722695227434
view journal of ramya,0.5730936148110006,0.5902727323650396,0.5130939413617439,0.6177741127971723,0.4903012527687284,0.637011923056958,0.34146738903750073,0.5101882424339745,0.5537767104538099,0.5159465909546082,0.5181960565221087,0.5198063308236297,0.5062543849322145,0.42201507232572566,0.5820480322889905,0.5731658355687679,0.5639813924436082,0.6880520888580929,0.49395791661142296,0.48871528065775083,0.5083013469172666,0.4357211940620149,0.4571878546104511,0.49456337016296736,0.589595855153106,0.4905989068282791,0.59411096109495,0.519866583056949,0.6112614401612866,0.5897017673248501,0.5068732105894711,0.5638499979375658,0.39715215208853616,0.5159465909546082,0.4687900126801393,0.5198063308236297,0.5010398096283901,0.6173846644822161,0.5475377752403288,0.5840805870100212,0.4549749060626157,0.606974797091156,0.5656137440606213,0.5639813924436082,0.3990705534111991,0.33564722695227434,0.0
